playerid,Name,Team,G,PA,H,1B,2B,3B,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,xBA,wOBA,xwOBA,SLG,xSLG,OBP,wRC+,Off,Def,Spd,BsR,WAR,BB/K,Barrel%,HardHit%,O-Swing% (sc),Z-Swing% (sc),Swing% (sc),O-Contact% (sc),Z-Contact% (sc),Contact% (sc),Pull%,Cent%,Oppo%,EV,LA,maxEV,LD%,GB%,FB%,Clutch
9218,Paul Goldschmidt,STL,154,654,147,91,33,1,22,70,65,11,0.071865443,0.264525993,0.168614357,0.307881773,0.245409015,0.255,0.309822555,0.329,0.414023372,0.45,0.301538461,99.66620027,-0.314735921,-10.66998804,4.457351272,-0.053685129,1.114793229,0.2716763,0.10648148,0.48148148,0.28878282,0.6390411,0.47699669,0.61707989,0.79849946,0.74768519,0.4135514,0.3271028,0.25934579,91.24618545,13.09171206,111.445,0.212616822,0.429906542,0.357476635,-0.322939432
15172,Tim Anderson,MIA,65,241,50,47,3,0,0,16,9,4,0.029045643,0.282157676,0.012820513,0.301204819,0.213675213,0.215,0.207583638,0.23,0.226495726,0.283,0.236514522,26.76256375,-22.50513295,0.492516756,2.911151396,-1.398864388,-1.444553375,0.102941176,0.01807229,0.30120482,0.38105727,0.69857434,0.54603175,0.53757225,0.79591837,0.70930233,0.41818182,0.2969697,0.28484848,86.10488873,1.396488629,108.881,0.224242424,0.624242424,0.151515151,-0.323311793
11038,Kevin Kiermaier,- - -,116,281,51,34,9,3,5,31,26,6,0.042704626,0.306049822,0.115830116,0.272189349,0.196911196,0.195,0.240860991,0.232,0.312741312,0.278,0.237226277,54.28529893,-14.91235877,8.669137061,6.948956017,-0.073579349,0.3224177,0.139534883,0.03867403,0.29834254,0.31722689,0.73469388,0.53891626,0.39072848,0.78030303,0.67276051,0.40331492,0.34254144,0.25414365,86.43497386,7.261323099,105.857,0.152046783,0.543859649,0.304093567,-0.327009452
28080,Jasson Domínguez,NYY,18,67,10,7,1,0,2,8,4,5,0.164179104,0.283582089,0.125,0.228571428,0.178571428,0.201,0.285165392,0.305,0.303571428,0.332,0.313432835,84.37552821,-1.326106949,-2.36443454,5.730992335,-0.128302962,-0.150481985,0.578947368,0.10810811,0.45945946,0.30821918,0.70634921,0.49264706,0.6,0.87640449,0.78358209,0.54054054,0.27027027,0.18918919,89.41849662,5.087492247,109.293,0.162162162,0.621621621,0.216216216,-0.327613779
10950,Adam Duvall,ATL,104,330,55,34,10,0,11,29,30,0,0.063636363,0.3,0.141914192,0.226804123,0.181518151,0.197,0.251942584,0.283,0.323432343,0.387,0.245454545,58.0482845,-16.83033124,-4.005969144,1.248626365,-0.275492713,-1.016972752,0.212121212,0.10731707,0.36585366,0.32835821,0.64098613,0.49041534,0.51515152,0.85096154,0.74267101,0.52195122,0.30243902,0.17560976,86.87356136,22.17744141,112.96,0.180487804,0.312195121,0.507317073,-0.327691484
22542,Lawrence Butler,OAK,125,451,108,60,24,2,22,63,57,18,0.077605321,0.239467849,0.22815534,0.3006993,0.262135922,0.261,0.344568039,0.342,0.490291262,0.471,0.31707317,130.1370832,19.36487751,-2.431818485,6.401089869,3.812980674,3.301518502,0.324074074,0.11038961,0.47402597,0.28428094,0.66339869,0.47603306,0.56862745,0.82922824,0.75231481,0.32142857,0.39935065,0.27922078,91.11987861,11.25587051,113.091,0.185064935,0.438311688,0.376623376,-0.329944603
19931,Luke Williams,ATL,37,52,9,6,3,0,0,8,4,3,0.076923076,0.25,0.065217392,0.272727272,0.195652173,0.166,0.245692502,0.234,0.260869565,0.266,0.274509803,53.84155068,-3.102939075,-0.309047069,6.956151991,-0.232714765,-0.173541096,0.307692307,0.02941176,0.29411765,0.25,0.72916667,0.51744186,0.31578947,0.85714286,0.74157303,0.44117647,0.29411765,0.26470588,89.55240885,18.64983576,104.574,0.121212121,0.363636363,0.515151515,-0.331656091
29592,Connor Norby,- - -,45,194,42,24,9,0,9,32,20,3,0.077319587,0.329896907,0.202247191,0.311320754,0.235955056,0.228,0.315641923,0.316,0.438202247,0.439,0.293814432,100.6407804,-1.714903731,-3.948350202,4.172799493,-1.925896905,0.082440913,0.234375,0.14782609,0.3826087,0.34269663,0.78163772,0.57575758,0.49180328,0.76507937,0.68878719,0.48695652,0.27826087,0.23478261,86.21756008,16.95143963,107.501,0.252173913,0.339130434,0.408695652,-0.332043185
19956,Mickey Moniak,LAA,124,418,86,53,17,2,14,48,49,8,0.050239234,0.272727272,0.160714285,0.271698113,0.219387755,0.221,0.280581667,0.283,0.38010204,0.379,0.265550239,79.3856024,-11.12296962,-1.933847874,5.087472164,-1.263523057,0.090619174,0.184210526,0.09318996,0.34408602,0.39136126,0.72632944,0.55960912,0.55852843,0.81428571,0.72526193,0.48387097,0.30824373,0.2078853,88.0702205,19.79868483,112.791,0.187725631,0.357400722,0.454873646,-0.332521685
7859,Charlie Blackmon,COL,124,499,115,74,24,5,12,59,52,6,0.086172344,0.172344689,0.155902005,0.292613636,0.256124721,0.249,0.322884678,0.306,0.412026726,0.365,0.328657314,93.88503887,-4.136865913,-11.95634055,5.143946332,-0.488019943,0.054116748,0.5,0.0521978,0.27197802,0.29989213,0.64663951,0.47826087,0.67625899,0.89133858,0.82584885,0.45054945,0.35164835,0.1978022,84.83247861,16.41599522,107.622,0.223140495,0.366391184,0.410468319,-0.332530905
17452,Jose Siri,TBR,130,448,75,40,16,1,18,50,47,14,0.069196428,0.379464285,0.179104477,0.261467889,0.186567164,0.2,0.270781241,0.297,0.365671641,0.409,0.254504504,78.31388509,-9.585415989,12.72566831,5.436140097,1.531014994,1.86670029,0.182352941,0.14583333,0.4125,0.34841629,0.65486726,0.5033557,0.3961039,0.70777027,0.60111111,0.38655462,0.35294118,0.2605042,87.52279754,15.36306412,110.972,0.174468085,0.39574468,0.429787234,-0.334418815
