playerid,Name_x,Team,G,PA,H,1B,2B,3B,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,xBA,wOBA,xwOBA,SLG,xSLG,OBP,wRC+,Off,Def,Spd,BsR,WAR,BB/K,Barrel%,HardHit%,O-Swing% (sc),Z-Swing% (sc),Swing% (sc),O-Contact% (sc),Z-Contact% (sc),Contact% (sc),Pull%,Cent%,Oppo%,EV,LA,maxEV,LD%,GB%,FB%,Clutch,Name_y,Pos,Bats,Thr,Prev Team,Age,Service Time,2021 WAR,Proj WAR,Med Years,Med Total,Med AAV,QO,Signing Team,Years,Total Salary,AAV
2967,Tommy Pham,- - -,116,478,109,77,20,3,9,49,39,7,0.073221757,0.221757322,0.120454546,0.306748466,0.247727272,0.263,0.296562407,0.319,0.368181818,0.407,0.30543933,90.89166734,-8.178660497,-8.502683043,4.558143939,-3.132970721,-0.077419165,0.330188679,0.07164179,0.42686567,0.1816092,0.58974359,0.4050962,0.48101266,0.8647343,0.78690629,0.37014925,0.34328358,0.28656716,90.39286699,11.08655005,112.898,0.220895522,0.441791044,0.337313432,0.438539238,Tommy Pham,LF/RF,R,R,SDP,34,6.107,0.972725153,,,0,,,CIN,1.0,7500000.0,7500000.0
8090,Matt Carpenter,STL,59,157,32,21,7,0,4,15,15,0,0.095541401,0.324840764,0.138686131,0.333333333,0.233576642,0.211,0.303031007,0.287,0.372262773,0.35,0.314102564,95.0950229,-3.120913254,-4.173673198,1.815630989,-2.20004411,-0.213405818,0.294117647,0.06741573,0.26966292,0.21405751,0.6056338,0.42215569,0.41791045,0.8372093,0.73758865,0.39772727,0.36363636,0.23863636,85.7524821,24.23506673,106.541,0.26744186,0.26744186,0.465116279,0.421721343,Matt Carpenter,1B/3B/DH,L,R,STL,36,10.012,-0.296761662,,,0,,,TEX,1.0,0.0,
8090,Matt Carpenter,STL,59,157,32,21,7,0,4,15,15,0,0.095541401,0.324840764,0.138686131,0.333333333,0.233576642,0.211,0.303031007,0.287,0.372262773,0.35,0.314102564,95.0950229,-3.120913254,-4.173673198,1.815630989,-2.20004411,-0.213405818,0.294117647,0.06741573,0.26966292,0.21405751,0.6056338,0.42215569,0.41791045,0.8372093,0.73758865,0.39772727,0.36363636,0.23863636,85.7524821,24.23506673,106.541,0.26744186,0.26744186,0.465116279,0.421721343,Matt Carpenter,1B/3B/DH,L,R,STL,36,10.012,-0.296761662,,,0,,,NYY,1.0,730769.0,730769.0
12434,Kevin Pillar,- - -,100,314,65,40,16,1,8,38,45,12,0.050955414,0.219745222,0.147887324,0.271428571,0.228873239,0.221,0.292505991,0.275,0.376760563,0.329,0.290734824,87.89100254,-2.930512254,-2.224406853,6.177353658,1.420030527,0.548656297,0.231884057,0.03652968,0.29680365,0.35323383,0.69154229,0.52238806,0.57746479,0.88489209,0.78095238,0.47031963,0.3196347,0.21004566,84.63020479,17.87097784,108.755,0.188073394,0.353211009,0.458715596,0.421487852,Kevin Pillar,LF/CF/RF,R,R,NYM,33,7.113,0.565607607,,,0,,,LAD,1.0,1799451.0,1799451.0
9627,Yan Gomes,CHC,34,96,14,10,2,0,2,7,7,0,0.020833333,0.375,0.087912088,0.222222222,0.153846153,0.212,0.184459737,0.259,0.241758241,0.364,0.178947368,16.36616581,-9.673767711,-4.958929777,1.749999996,-0.072810706,-1.181063616,0.055555555,0.10526316,0.42105263,0.40659341,0.75647668,0.58666667,0.40540541,0.80821918,0.67272727,0.31578947,0.42105263,0.26315789,87.07169887,17.02891976,106.869,0.232142857,0.339285714,0.428571428,0.214954483,Yan Gomes,C,R,R,OAK,34,9.083,2.226135015,,,0,,,CHC,3.0,19000000.0,6500000.0
13355,Luke Maile,CIN,55,154,24,18,4,0,2,8,8,2,0.084415584,0.337662337,0.074074074,0.268292682,0.177777777,0.177,0.240701091,0.241,0.251851851,0.252,0.267973856,45.20038451,-9.992846883,-1.973713011,3.001509121,0.098741228,-0.706234383,0.25,0.03529412,0.24705882,0.26397516,0.64126984,0.45054945,0.45882353,0.85643564,0.73867596,0.43529412,0.38823529,0.17647059,84.7338573,11.33821124,105.956,0.253012048,0.421686746,0.325301204,0.03846682,Luke Maile,C,R,R,MIL,31,4.132,0.254367173,,,0,,,CLE,1.0,900000.0,900000.0
14130,Daniel Vogelbach,TOR,31,79,13,7,5,0,1,5,8,0,0.11392405,0.215189873,0.114285715,0.23076923,0.185714285,0.273,0.261974599,0.36,0.3,0.466,0.278481012,69.416969,-3.381983171,-2.376543045,0.708333327,-0.617504627,-0.322744945,0.529411764,0.09433962,0.43396226,0.17222222,0.43023256,0.29829545,0.67741935,0.94594595,0.86666667,0.45283019,0.39622642,0.1509434,90.89131434,8.13482307,108.976,0.207547169,0.490566037,0.301886792,0.027821374,Daniel Vogelbach,1B/DH,L,R,MIL,29,3.138,-0.050825987,,,0,,,PIT,2.0,2300000.0,1000000.0
12155,Eddie Rosario,- - -,91,319,52,30,12,0,10,33,35,9,0.050156739,0.24137931,0.141414141,0.196261682,0.175084175,0.211,0.230368699,0.257,0.316498316,0.34,0.214511041,44.63176266,-19.07790303,-11.14948159,5.379318051,2.043008881,-2.024694379,0.207792207,0.05309735,0.42477876,0.36019737,0.68911917,0.52064027,0.5890411,0.8245614,0.74110032,0.45132743,0.28761062,0.26106195,90.95331112,14.34679902,110.176,0.197309417,0.394618834,0.408071748,0.014409508,Eddie Rosario,LF/RF,L,R,ATL,30,6.12,1.015229821,,,0,,,ATL,2.0,18000000.0,9000000.0
12092,Niko Goodrum,- - -,13,33,3,3,0,0,0,2,0,1,0.09090909,0.303030303,0.0,0.157894736,0.103448275,0.168,0.147266384,0.229,0.103448275,0.249,0.1875,-10.17376564,-4.422051658,-4.520558476,3.962646586,-0.262009414,-0.8099595,0.3,0.05,0.25,0.23943662,0.5942029,0.41428571,0.52941176,0.73170732,0.67241379,0.4,0.35,0.25,86.33111233,-15.66346419,104.22,0.105263157,0.842105263,0.052631578,0.002052968,Niko Goodrum,SS/2B/3B/OF,S,R,DET,30,4.031,1.024356723,,,0,,,HOU,1.0,2100000.0,2100000.0
13836,Matt Duffy,TEX,4,10,2,2,0,0,0,2,0,0,0.2,0.1,0.0,0.333333333,0.285714285,0.415,0.386187488,0.482,0.285714285,0.474,0.5,155.4602357,0.683153374,0.389496043,2.64285714,0.048572004,0.14520897,2.0,0.0,0.66666667,0.06666667,0.75,0.41935484,0.0,0.91666667,0.84615385,0.5,0.33333333,0.16666667,98.81896973,14.27631887,104.789,0.333333333,0.5,0.166666666,-0.001656501,Matt Duffy,3B/2B/SS,R,R,CHC,31,6.059,1.20707655,,,0,,,LAA,1.0,1500000.0,1500000.0
14942,Andrew Knapp,SFG,3,6,1,1,0,0,0,0,0,0,0.0,0.333333333,0.0,0.25,0.166666666,0.152,0.146951785,0.139,0.166666666,0.161,0.166666666,-9.457798167,-0.793235179,-0.731172115,0.14285714,-0.007892422,-0.136801814,0.0,0.0,0.5,0.5625,0.66666667,0.6,0.11111111,0.66666667,0.33333333,0.25,0.25,0.5,83.82112885,-1.113405585,102.272,0.0,0.75,0.25,-0.044443724,Andrew Knapp,C,S,R,PHI,30,5.0,-1.309962273,,,0,,,CIN,1.0,0.0,
14942,Andrew Knapp,SFG,3,6,1,1,0,0,0,0,0,0,0.0,0.333333333,0.0,0.25,0.166666666,0.152,0.146951785,0.139,0.166666666,0.161,0.166666666,-9.457798167,-0.793235179,-0.731172115,0.14285714,-0.007892422,-0.136801814,0.0,0.0,0.5,0.5625,0.66666667,0.6,0.11111111,0.66666667,0.33333333,0.25,0.25,0.5,83.82112885,-1.113405585,102.272,0.0,0.75,0.25,-0.044443724,Andrew Knapp,C,S,R,PHI,30,5.0,-1.309962273,,,0,,,PIT,1.0,800000.0,800000.0
8418,Ehire Adrianza,LAA,8,28,5,3,1,0,1,4,2,0,0.071428571,0.392857142,0.153846154,0.285714285,0.192307692,0.175,0.261694672,0.236,0.346153846,0.292,0.25,66.10010465,-1.127566964,1.331824206,2.64285714,-0.041486514,0.117494109,0.181818181,0.06666667,0.33333333,0.20754717,0.53846154,0.38983051,0.27272727,0.77142857,0.65217391,0.26666667,0.33333333,0.4,88.38733724,4.805421448,100.68,0.0,0.533333333,0.466666666,-0.056071743,Ehire Adrianza,2B/3B/SS/LF,S,R,ATL,32,7.131,0.577892303,,,0,,,WSN,1.0,1500000.0,1500000.0
13757,Chris Taylor,LAD,87,246,43,31,7,1,4,28,23,5,0.113821138,0.308943089,0.098591549,0.288888888,0.201877934,0.218,0.271994088,0.297,0.300469483,0.343,0.297959183,74.43562417,-8.65043249,-4.809574962,5.264559344,-1.130194493,-0.544063104,0.368421052,0.07142857,0.28571429,0.19393939,0.72413793,0.47323136,0.44791667,0.76190476,0.7010101,0.37857143,0.35,0.27142857,85.94883662,16.93036331,108.513,0.210144927,0.413043478,0.376811594,-0.093256867,Chris Taylor,2B/3B/SS/OF,R,R,LAD,31,6.037,2.657350302,,,0,,18400000.0,LAD,4.0,60000000.0,15000000.0
5760,Avisaíl García,MIA,18,51,12,9,1,0,2,4,2,0,0.019607843,0.25490196,0.14,0.285714285,0.24,0.25,0.274082263,0.293,0.38,0.405,0.25490196,71.52069671,-1.732730501,-0.09268567,0.654220771,0.004113533,-0.013123003,0.076923076,0.08108108,0.2972973,0.38043478,0.81914894,0.60215054,0.4,0.85714286,0.71428571,0.40540541,0.37837838,0.21621622,86.63459407,2.121400575,107.045,0.135135135,0.648648648,0.216216216,-0.265997784,Avisaíl García,RF/LF,R,R,MIL,31,8.167,2.289957285,,,0,,,MIA,4.0,53000000.0,13250000.0
8623,Donovan Solano,SDP,96,309,81,60,13,0,8,31,35,2,0.071197411,0.210355987,0.130742049,0.345971563,0.286219081,0.257,0.333102858,0.307,0.41696113,0.378,0.343042071,117.5444313,3.331438967,-6.015869975,2.254848843,-3.151307814,0.78548682,0.338461538,0.03652968,0.36986301,0.28209459,0.63729809,0.47211312,0.58682635,0.8640553,0.78702163,0.34703196,0.4109589,0.24200913,87.2963912,13.66818153,107.577,0.228310502,0.442922374,0.328767123,-0.271932766,Donovan Solano,2B/3B,R,R,SFG,34,6.081,1.3940202,,,0,,,CIN,1.0,4500000.0,4500000.0
12564,Trevor Story,BOS,26,106,24,15,7,0,2,8,10,6,0.103773584,0.311320754,0.138297873,0.372881355,0.255319148,0.193,0.317580523,0.255,0.393617021,0.29,0.339622641,101.3877418,0.100943991,2.536741376,3.802122752,-0.067369975,0.637352792,0.333333333,0.06557377,0.29508197,0.36363636,0.6827957,0.5227882,0.48529412,0.8503937,0.72307692,0.36065574,0.32786885,0.31147541,86.11655514,18.64390889,105.185,0.229508196,0.344262295,0.426229508,-0.283537484,Trevor Story,SS,R,R,COL,29,6.0,2.173464775,,,0,,18400000.0,BOS,6.0,140000000.0,23333333.33
15429,Kris Bryant,COL,37,155,29,22,5,0,2,9,15,0,0.083870967,0.309677419,0.082706767,0.321428571,0.218045112,0.211,0.287027897,0.29,0.300751879,0.315,0.322580645,69.75096757,-6.198663865,-6.35162282,0.61160714,-0.592000641,-0.763081109,0.270833333,0.04651163,0.30232558,0.31481481,0.66197183,0.47697368,0.41176471,0.79255319,0.65862069,0.5,0.31395349,0.18604651,85.14317428,18.46987134,107.276,0.244186046,0.372093023,0.38372093,-0.523665672,Kris Bryant,3B/LF/RF,R,R,SFG,30,6.171,3.099440336,,,0,,,COL,7.0,182000000.0,26000000.0
9847,Andrew McCutchen,PIT,120,515,104,65,18,1,20,66,50,3,0.112621359,0.258252427,0.178571428,0.282828282,0.232142857,0.227,0.324504187,0.327,0.410714285,0.421,0.328155339,105.4933599,0.523591518,-12.95872879,3.151889972,-2.859444089,0.486941856,0.436090225,0.11671924,0.36277603,0.1703629,0.63076923,0.41951896,0.44970414,0.80216802,0.73649394,0.41640379,0.38170347,0.20189274,88.4257318,14.28328348,109.823,0.170347003,0.410094637,0.419558359,-0.708181605,Andrew McCutchen,LF/RF/DH,R,R,PHI,35,12.123,1.42749691,,,0,,,MIL,1.0,8500000.0,8500000.0
14162,Carlos Correa,MIN,86,367,99,63,20,2,14,55,54,0,0.108991825,0.166212534,0.206896552,0.342741935,0.310344827,0.278,0.385304837,0.358,0.517241379,0.455,0.387978142,155.4979003,22.72790888,6.440043926,2.81785714,-0.577043727,4.275913899,0.655737704,0.09125475,0.44486692,0.23953824,0.65542522,0.44581818,0.62650602,0.8836689,0.81402936,0.36259542,0.35114504,0.28625954,90.27281876,8.943263396,113.874,0.202290076,0.435114503,0.362595419,-0.724222658,Carlos Correa,SS,R,R,HOU,27,6.119,6.29533577,,,0,,18400000.0,MIN,1.0,35100000.0,35100000.0
5361,Freddie Freeman,LAD,147,638,153,94,35,2,22,81,89,9,0.122257053,0.156739811,0.193726938,0.306074766,0.282287822,0.278,0.365357109,0.367,0.47601476,0.466,0.377742946,137.2753371,27.00415407,-9.047943234,4.097250745,-1.434140094,4.04871924,0.78,0.09111111,0.41555556,0.26299213,0.72741807,0.49345498,0.71257485,0.86043956,0.82073955,0.35333333,0.33555556,0.31111111,89.4100434,14.34369466,112.337,0.226666666,0.386666666,0.386666666,-0.765855321,Freddie Freeman,1B,L,R,ATL,32,11.033,4.681728363,,,0,,18400000.0,LAD,6.0,162000000.0,24700000.0
11737,Nick Castellanos,PHI,162,659,154,97,30,4,23,80,86,6,0.062215477,0.210925644,0.176567657,0.293721973,0.254125412,0.271,0.320758034,0.333,0.430693069,0.441,0.311077389,104.9691755,0.077697989,-18.57475328,4.518512308,-3.838197008,0.356132963,0.294964028,0.07889126,0.37739872,0.37706342,0.77843803,0.58007729,0.47926267,0.83642312,0.72168764,0.38592751,0.37100213,0.24307036,88.33901872,15.04371485,113.057,0.236673773,0.375266524,0.388059701,-0.904688435,Nick Castellanos,RF/LF/DH,R,R,CIN,30,8.029,3.593848228,,,0,,18400000.0,PHI,5.0,100000000.0,20000000.0
16376,Michael Conforto,SFG,130,488,104,54,27,3,20,56,66,0,0.086065573,0.241803278,0.212328767,0.277227722,0.237442922,0.257,0.326693408,0.35,0.449771689,0.479,0.309426229,111.5206351,4.953990261,-8.896089077,2.775221672,-1.768923312,1.27122379,0.355932203,0.11764706,0.45820433,0.25207469,0.63763764,0.44829343,0.56790123,0.8477237,0.77045455,0.42105263,0.34365325,0.23529412,90.21530617,14.79861821,113.555,0.176470588,0.417956656,0.405572755,-0.953601907,Michael Conforto,RF/LF,L,R,NYM,29,6.043,1.459048271,,,0,,18400000.0,,,,
12533,Marcus Semien,TEX,159,718,154,102,27,2,23,101,74,8,0.08913649,0.146239554,0.153846154,0.250478011,0.236923076,0.251,0.305882808,0.313,0.39076923,0.391,0.307799442,98.97228367,0.686942325,15.70143414,4.285067645,1.531254999,4.164497149,0.609523809,0.06593407,0.35164835,0.26550681,0.73829624,0.50019048,0.56980057,0.8960499,0.80883473,0.503663,0.29304029,0.2032967,87.39428666,17.02038911,112.099,0.179487179,0.395604395,0.424908424,-0.953666999,Marcus Semien,2B/SS,R,R,TOR,31,7.118,5.956840038,,,0,,18400000.0,TEX,7.0,175000000.0,25000000.0
30116,Seiya Suzuki,CHC,132,585,145,91,27,6,21,74,73,16,0.107692307,0.273504273,0.19921875,0.370149253,0.283203125,0.255,0.364872847,0.346,0.482421875,0.453,0.365811965,137.7965553,25.66394328,-10.76272762,5.779004159,-0.776538961,3.550925938,0.39375,0.11516854,0.48876404,0.20779221,0.57791699,0.39617377,0.5625,0.85094851,0.77665996,0.33707865,0.43820225,0.2247191,91.70488556,16.17592252,115.503,0.193820224,0.337078651,0.469101123,-1.06131407,Seiya Suzuki,RF,R,R,JPN,27,,,,,0,,,CHC,5.0,85000000.0,17000000.0
14221,Jorge Soler,- - -,142,574,119,63,34,1,21,84,64,1,0.118466898,0.245644599,0.200811359,0.292537313,0.24137931,0.244,0.339777103,0.346,0.442190669,0.447,0.338003502,119.3728178,8.920098293,-17.7908479,3.073100455,-4.377278365,1.057979569,0.482269503,0.12256267,0.43732591,0.26150121,0.64869721,0.44472789,0.47839506,0.84072022,0.72848948,0.44101124,0.3258427,0.23314607,90.48770793,17.92450877,115.4,0.160112359,0.379213483,0.460674157,-1.764485194,Jorge Soler,RF/LF/DH,R,R,ATL,30,6.143,-0.038773067,,,0,,,MIA,2.0,27000000.0,12000000.0
