playerid,Name,Pos,Bats,Thr,Prev Team,Age,Service Time,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,ERA,xERA,FIP,xFIP,WAR,Stuff+,Location+,Pitching+
5003,Jake Diekman,RP,R,L,NYM,38,12,2,3,4,43,0,32,11.3,6.8,2,0.229,65.50%,44.70%,29.20%,5.63,5.11,6.14,4.43,-0.8,129,90.7,96.2
13619,Jakob Junis,SP,R,R,CIN,32,7,4,0,1,24,6,67,6.9,1.1,1.1,0.224,77.90%,38.70%,10.40%,2.69,3.8,3.69,3.87,0.9,99,107.9,108.4
17192,Jalen Beeks,RP,L,L,PIT,31,6,7,4,10,71,0,70,7.1,3.5,0.8,0.321,65.90%,45.10%,7.30%,4.5,3.8,4,4.65,0.6,78,93.8,89
7432,Jay Jackson,RP,R,R,MIN,37,2.1,1,2,0,20,0,26.1,9.9,3.1,2.4,0.304,47.80%,35.50%,21.90%,7.52,4.74,5.44,3.83,-0.3,97.4,102.2,97.4
17432,Jeff Hoffman,RP,R,R,PHI,32,6.1,3,3,10,68,0,66.1,12.1,2.2,0.8,0.278,80.20%,37.60%,9.40%,2.17,2.87,2.52,2.8,2,115.8,100.1,103.9
5448,Jesse Chavez,RP,R,R,ATL,41,14,2,2,0,46,0,63.1,7.8,2.7,1.4,0.279,80.30%,43.10%,15.90%,3.13,4.25,4.43,3.88,-0.2,83.8,102.2,95.9
9761,Joe Kelly,RP,R,R,LAD,37,12,1,1,0,35,0,32,9.8,4.5,1.1,0.325,71.10%,47.10%,14.80%,4.78,5.11,4.57,4.22,0,107.4,92.2,96.4
12972,Joe Ross,SP,R,R,MIL,32,7,3,6,0,25,10,74,8,3.5,0.9,0.298,72.70%,41.00%,7.50%,3.77,3.91,3.83,4.5,0.9,88.1,101.7,97.8
11487,Joely Rodríguez,RP,L,L,BOS,33,4.1,0,1,0,14,0,13.2,7.9,1.3,2,0.348,50.60%,59.20%,33.30%,5.93,4.87,4.92,3.06,-0.1,78.1,106,101.7
19320,Joey Lucchesi,SP,L,L,NYM,32,4.1,0,2,0,2,2,10.1,6.1,7,0.9,0.233,68.50%,44.80%,8.30%,5.23,6.05,5.39,5.89,0,75.1,90.5,83.1
12777,John Brebbia,RP,L,R,ATL,35,7.1,0,6,2,59,0,55.1,10.9,3.1,1.8,0.317,67.10%,29.60%,15.90%,5.86,4.87,4.52,3.82,0.1,100.9,102.4,103.4
16269,John Means,SP,L,L,BAL,32,6,2,0,0,4,4,20.2,7,0.9,0.9,0.237,80.20%,18.30%,5.90%,2.61,4.68,3.31,4.54,0.5,86.9,101.5,102
19753,Jonathan Loáisiga,RP,R,R,NYY,30,6,1,0,0,3,0,4,6.8,2.3,0,0.438,100.00%,56.30%,0.00%,0,4.28,2.42,3.17,0.1,104,105.9,110
7593,Jordan Lyles,SP,R,R,KCR,34,12,0,0,0,5,0,5,5.4,3.6,0,0.143,100.00%,42.90%,0.00%,0,4.28,3.17,5.59,0,88.3,97.2,91.9
16122,Jordan Romano,RP,R,R,TOR,32,5.1,1,2,8,15,0,13.2,8.6,2.6,2.6,0.3,71.40%,27.90%,22.20%,6.59,7.6,6.17,4.35,-0.3,133.5,97.6,103
14527,Jorge López,RP,R,R,CHC,32,6.1,2,3,4,52,0,53,8.5,3.2,1,0.286,81.90%,51.00%,11.50%,2.89,3.59,3.94,3.95,0.2,108,101.1,102.1
6399,José Cisnero,RP,R,R,LAA,36,6.2,0,0,0,15,0,15.2,9.8,4.6,2.3,0.326,58.00%,41.30%,22.20%,6.89,6.17,6.23,4.65,-0.2,107.9,93.6,96.3
14524,José Leclerc,RP,R,R,TEX,31,8,6,5,1,64,0,66.2,12,4.3,0.9,0.314,71.80%,35.20%,10.30%,4.32,3.59,3.48,3.66,0.8,110.1,96.8,99.6
11423,Jose Quintana,SP,R,L,NYM,36,12.1,10,10,0,31,31,170.1,7.1,3.3,1.2,0.263,78.20%,47.40%,12.60%,3.75,4.52,4.56,4.44,1,82.7,97.3,92.8
11589,José Ureña,SP,R,R,TEX,33,8,5,8,1,33,9,109,5.8,3.2,1.1,0.273,74.70%,50.10%,11.70%,3.8,4.43,4.62,4.61,0.1,83.1,97.8,95
18335,Josh Staumont,RP,R,R,MIN,31,5,1,0,0,25,0,24.1,6.7,5.2,0,0.246,62.50%,47.10%,0.00%,3.7,4.37,3.54,5.03,0.2,110.5,92,95.5
13767,JT Chargois,RP,S,R,SEA,34,5.1,3,1,0,36,0,36.1,7.4,3.2,1.5,0.189,98.00%,36.60%,13.60%,2.23,4.4,4.9,4.58,-0.2,96.5,97.1,97
8700,Justin Verlander,SP,R,R,HOU,42,19,5,6,0,17,17,90.1,7.4,2.7,1.5,0.303,68.20%,28.20%,10.00%,5.48,3.78,4.78,5.13,0.7,116.7,101.1,103.1
4301,Justin Wilson,RP,L,L,CIN,37,12,1,5,2,60,0,46.2,9.8,2.5,1.9,0.338,71.40%,38.30%,15.90%,5.59,4.25,4.73,3.99,0.2,104.2,103.7,103.9
3096,Kenley Jansen,RP,S,R,BOS,37,14.1,4,2,27,54,0,54.2,10.2,3.3,0.7,0.26,73.00%,30.60%,5.60%,3.29,3.24,3,4.04,1.4,120.8,105.2,110.4
9073,Kirby Yates,RP,L,R,TEX,38,10,7,2,33,61,0,61.2,12.4,4.1,0.4,0.168,88.10%,45.50%,5.90%,1.17,1.86,2.5,3.12,1.9,97.2,101.6,102
15009,Kyle Finnegan,RP,R,R,WSN,33,5,3,8,38,65,0,63.2,8.5,3.4,1.3,0.292,74.60%,45.90%,15.30%,3.68,4.34,4.25,3.81,0,100.8,104.7,101.5
10123,Kyle Gibson,SP,R,R,STL,37,11,8,8,0,30,30,169.2,8,3.6,1.2,0.29,70.70%,44.80%,13.40%,4.24,4.87,4.42,4.19,1.5,93.1,97.7,95.1
12049,Kyle Hendricks,SP,R,R,CHC,35,10.1,4,12,0,29,24,130.2,6,3,1.4,0.305,64.20%,44.50%,14.30%,5.92,4.81,4.98,4.59,0.4,95.1,104.9,100.4
2520,Lance Lynn,SP,S,R,STL,38,13.1,7,4,0,23,23,117.1,8.4,3.4,1.2,0.287,70.00%,36.30%,11.10%,3.84,4.94,4.31,4.39,1.3,82.6,99.5,94.3
13470,Lucas Sims,RP,R,R,BOS,31,6,1,6,1,58,0,49.1,8.9,5.5,1.5,0.262,79.30%,28.00%,11.10%,4.38,4.34,5.23,5.33,-0.3,132.2,93.3,103.6
6984,Luis García,RP,R,R,BOS,38,9,5,1,4,60,0,59,8.1,2.3,1.2,0.303,63.40%,50.30%,15.40%,4.88,3.56,4.05,3.62,0.3,103.2,98.8,102.9
15890,Luis Severino,SP,R,R,NYM,31,8.2,11,7,0,31,31,182,8,3,1.1,0.283,73.70%,46.00%,12.30%,3.91,3.88,4.21,4.12,2.1,107,100.6,101.3
11752,Luke Jackson,RP,R,R,ATL,33,8,4,3,0,52,0,53,10,4.4,1.2,0.319,67.00%,50.70%,15.60%,5.09,4.08,4.24,3.81,-0.1,128.1,94.8,106.5
15467,Marco Gonzales,SP,L,L,PIT,33,7.1,1,1,0,7,7,33.2,6.1,2.9,1.3,0.339,78.70%,40.40%,11.10%,4.54,6.53,4.71,4.8,0.2,74.1,105,94.6
