playerid,Name,Pos,Bats,Thr,Prev Team,Age,Service Time,G,PA,H,1B,2B,3B,HR,R,RBI,SB,BB%,K%,BB/K,ISO,BABIP,OBP,AVG,xBA,wOBA,xwOBA,SLG,xSLG,wRC+,WAR,Off,Def,Spd,BsR,Barrel%,HardHit%,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Pull%,Cent%,Oppo%,LD%,GB%,FB%,EV,LA,maxEV,Clutch
19293,Nick Senzel,3B/2B/OF,R,R,CIN,29,4.15,104,330,71,48,10,0,13,49,42,6,7.90%,22.40%,35.10%,0.163,0.269,0.297,0.236,0.245,0.302,0.296,0.399,0.367,81.5,-0.5,-6.3,-10.2,4.5,1.2,4.80%,34.10%,28.30%,66.90%,48.90%,61.10%,87.10%,80.10%,45.40%,31.00%,23.60%,19.30%,42.10%,38.60%,87.4,15.2,108.8,-0.5
6184,J.D. Martinez,DH,R,R,LAD,36,12.04,113,479,117,55,27,2,33,61,103,1,7.10%,31.10%,22.80%,0.301,0.324,0.321,0.271,0.271,0.369,0.369,0.572,0.553,134.9,2.4,19.8,-11.8,3.1,-0.8,17.00%,54.80%,33.00%,73.00%,53.00%,37.00%,81.40%,67.50%,38.40%,37.30%,24.30%,22.30%,36.00%,41.80%,93.4,16.8,112.1,-0.5
17696,Kevin Newman,SS/2B/3B,R,R,CIN,30,5.05,74,253,57,38,16,0,3,28,28,8,6.70%,13.40%,50.00%,0.111,0.28,0.311,0.253,0.272,0.296,0.311,0.364,0.374,77.2,0,-6.1,-2.8,4.9,1,2.50%,29.30%,27.60%,63.90%,46.60%,73.30%,93.10%,87.50%,38.90%,36.90%,24.20%,24.10%,44.60%,31.30%,86.5,12,105.7,-0.6
9952,Trayce Thompson,LF/RF/CF,R,R,CHW,33,4.01,72,179,25,17,2,0,6,17,17,2,13.40%,43.00%,31.20%,0.131,0.271,0.285,0.163,0.165,0.266,0.275,0.294,0.322,64.9,-0.3,-7.4,-1.3,3.3,0.2,11.80%,46.10%,19.70%,63.20%,39.90%,32.10%,70.20%,60.20%,43.40%,30.30%,26.30%,18.40%,32.90%,48.70%,89.3,21.8,110.1,-0.6
11442,Gary Sánchez,C,R,R,SDP,31,7.05,75,267,52,24,9,0,19,33,47,0,7.90%,25.10%,31.30%,0.275,0.212,0.288,0.217,0.233,0.329,0.343,0.492,0.502,110.1,1.6,2.5,4.9,1.1,-0.8,15.40%,44.60%,26.40%,56.30%,41.80%,47.90%,85.40%,73.90%,47.40%,36.60%,16.00%,13.70%,39.40%,46.90%,90.1,16.5,115.1,-0.6
14968,Victor Caratini,C,S,R,MIL,30,6.05,62,226,52,41,4,0,7,23,25,1,8.40%,19.90%,42.20%,0.124,0.296,0.327,0.259,0.258,0.312,0.31,0.383,0.377,94.5,1.1,-4.1,7.8,1.9,-2.6,5.00%,44.70%,23.50%,63.60%,45.30%,64.00%,85.30%,80.30%,42.10%,41.50%,16.40%,18.20%,53.50%,28.30%,91.3,10.8,112.4,-0.7
11265,Jonathan Schoop,2B/3B,R,R,DET,32,9.13,55,151,29,21,8,0,0,15,7,0,8.60%,24.50%,35.10%,0.059,0.287,0.278,0.213,0.23,0.249,0.276,0.272,0.328,54.2,-0.3,-8.9,0.7,1.7,-0.6,4.00%,38.60%,31.70%,74.00%,52.60%,53.10%,80.40%,72.10%,39.60%,40.60%,19.80%,20.80%,45.50%,33.70%,89.4,11.2,111.3,-0.7
15998,Cody Bellinger,CF/1B,L,L,CHC,28,6.16,130,556,153,97,29,1,26,95,97,20,7.20%,15.60%,46.00%,0.218,0.319,0.356,0.307,0.268,0.37,0.327,0.525,0.434,136.3,4.4,27.4,-1.8,5.5,2.5,6.10%,31.40%,30.90%,66.40%,49.90%,64.80%,87.90%,81.20%,43.60%,37.30%,19.10%,20.80%,35.80%,43.40%,87.9,17.2,109.2,-0.7
7859,Charlie Blackmon,RF/LF/DH,L,L,COL,37,11.1,96,413,100,63,24,5,8,57,40,4,9.40%,13.30%,70.90%,0.162,0.307,0.363,0.279,0.269,0.35,0.339,0.44,0.406,106.8,0.9,2,-7.2,5.6,-1.5,4.90%,31.50%,29.90%,62.60%,47.30%,67.90%,88.90%,82.70%,44.20%,35.10%,20.80%,23.40%,36.40%,40.30%,86.4,18.1,108.5,-0.7
8202,Josh Harrison,3B/2B,R,R,PHI,36,11.12,41,114,21,16,3,0,2,8,10,0,2.60%,17.50%,15.00%,0.087,0.229,0.263,0.204,0.228,0.248,0.278,0.291,0.323,51.4,-0.6,-6.7,-3.5,1.2,0.2,2.40%,25.90%,28.80%,67.60%,50.80%,69.40%,81.30%,78.40%,41.20%,35.30%,23.50%,20.00%,49.40%,30.60%,86.6,10.7,104.6,-0.7
