playerid,Name_x,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,ERA,xERA,FIP,xFIP,WAR,FA% (pi),vFA (pi),wFA (pi),FC% (pi),vFC (pi),wFC (pi),SI% (pi),vSI (pi),wSI (pi),CH% (pi),vCH (pi),wCH (pi),SL% (pi),vSL (pi),wSL (pi),CU% (pi),vCU (pi),wCU (pi),CS% (pi),vCS (pi),wCS (pi),FS% (pi),vFS (pi),wFS (pi),KN% (pi),vKN (pi),wKN (pi),SB% (pi),vSB (pi),wSB (pi),XX% (pi),Stf+ CH,Stf+ CU,Stf+ FA,Stf+ SI,Stf+ SL,Stf+ KC,Stf+ FC,Stf+ FS,Stuff+,Location+,Pitching+,Stf+ FO,Name_y,Pos,Bats,Thr,Prev Team,Age,Service Time,2024 WAR,Proj WAR,Med Years,Med Total,Med AAV,QO,Signing Team,Years,Total Salary,AAV
10123,Kyle Gibson,STL,8,8,0,30,30,169.2,8.009823663,3.607072908,1.220039366,0.289915966,0.70717131,0.447580645,0.13372093,4.243615186,4.87,4.421882604,4.192405847,1.460535765,0.13241679,91.61108265,-5.506723128,0.2105644,88.75676546,1.573967397,0.26374819,90.91040809,1.127611082,0.10021708,85.11705353,3.821092248,0.21128799,80.86556881,3.140505482,0.08176556,78.41539339,-3.154394012,,,,,,,,,,,,,,98.76945455,102.1062762,80.3420765,83.60315068,103.8063047,,95.71578045,,93.10474106,97.7154267,95.14434719,,Kyle Gibson,SP,R,R,STL,37,11.039,1.460535765,1.714219689,1,10000000,10000000,,,,,
10197,Shelby Miller,DET,6,8,2,51,0,55.2,7.922157136,2.101796791,1.455090086,0.214765101,0.60344828,0.398734177,0.123287671,4.526946935,3.75,4.477857263,4.358874253,-0.203437731,0.60588235,93.62597087,6.979048084,0.20588235,88.37628348,0.290621128,,,,,,,,,,,,,,,,0.18823529,86.87855225,-1.923287839,,,,,,,,,,109.7167641,,95.94135802,,70.9,96.88709677,105.5182844,98.08984199,99.7489842,,Shelby Miller,RP,R,R,DET,34,9.016,-0.203437731,0.002378849,,0,,,,,,
10233,Aroldis Chapman,PIT,5,5,14,68,0,61.2,14.30270418,5.691892479,0.729729805,0.32231405,0.69230769,0.448,0.106382978,3.794594986,2.98,3.036750035,3.135091587,1.108228803,0.33511111,97.87747638,0.288727269,,,,0.27644444,99.88634822,0.389218003,,,,0.26577778,87.05323735,0.997034691,,,,,,,0.12266667,91.46214051,2.698891629,,,,,,,,,,96.05025907,237.2072607,99.94033333,,,97.58666667,134.1421099,95.6447695,105.8658688,,Aroldis Chapman,RP,L,L,PIT,37,14.009,1.108228803,0.793967128,1,10000000,10000000,,BOS,1,10750000,10750000
10591,Scott Alexander,OAK,1,3,0,45,0,38.2,7.21551914,3.491380229,0.698276046,0.256880734,0.77625571,0.6,0.111111111,2.560345501,4.02,3.8906179,3.937796196,0.078217439,,,,,,,0.64310954,92.2650777,4.985266022,0.13074205,84.69608451,-1.998174842,0.22614841,82.89737701,3.838022236,,,,,,,,,,,,,,,,,75.69130435,,,87.60111732,105.5935484,,,,89.93142329,96.73401109,91.7792976,,Scott Alexander,RP,L,L,ATH,35,7.08,0.078217439,0.179353058,,0,,,,,,
11384,Tommy Kahnle,NYY,0,2,1,50,0,42.2,9.703127313,4.007813456,1.054687751,0.23364486,0.79545455,0.585585585,0.166666666,2.109375503,3.34,4.010229979,3.54992328,0.078290857,0.19866667,94.03273123,-3.615687869,,,,0.01733333,93.22193322,-2.402997743,0.72666667,87.31667144,10.43397752,0.05733333,86.14360011,0.385572188,,,,,,,,,,,,,,,,,119.0142322,,79.91714286,88.15,115.5461538,,,,110.7384298,95.46501377,95.80495868,,Tommy Kahnle,RP,R,R,NYY,35,9.131,0.078290857,0.218562543,,0,,,,,,
11423,Jose Quintana,NYM,10,10,0,31,31,170.1,7.13307262,3.328767223,1.162426649,0.263374486,0.7815735,0.474,0.125714285,3.751467822,4.52,4.563740094,4.438112719,1.049502254,0.22088068,90.8022194,-3.030421168,,,,0.30788352,90.88375865,8.347538956,0.1928267,85.81058644,2.598943681,,,,0.27840909,77.72451471,-0.373191182,,,,,,,,,,,,,,69.9927593,109.9401679,69.67475083,75.8611457,,,,,82.71857737,97.29629209,92.84404086,,Jose Quintana,SP,R,L,NYM,36,12.133,1.049502254,1.446243286,2,24000000,12000000,,,,,
11487,Joely Rodríguez,BOS,0,1,0,14,0,13.2,7.902441046,1.317073508,1.975610262,0.347826087,0.50561798,0.591836734,0.333333333,5.926830785,4.87,4.922577789,3.064631629,-0.108650878,,,,,,,0.48995984,90.27362961,0.183581054,0.36144578,85.81294488,-3.721712608,0.14859438,79.55566406,-0.432432316,,,,,,,,,,,,,,,,,69.17888889,,,84.76885246,77.26216216,,,,78.14176707,105.9598394,101.7417671,,Joely Rodríguez,RP,L,L,BOS,33,4.137,-0.108650878,0.039423648,,0,,,,,,
11589,José Ureña,TEX,5,8,1,33,9,109,5.779817121,3.220183824,1.073394608,0.272997033,0.74730354,0.501440922,0.117117117,3.798165536,4.43,4.616021215,4.605314178,0.08463604,0.04832291,96.55922564,-2.437544767,,,,0.4235361,96.20965289,4.560332227,0.18305856,88.90634402,-1.88887126,0.34508243,87.18761262,-1.385640159,,,,,,,,,,,,,,,,,75.7893617,,87.83063063,91.472879,76.24825291,,,,83.12929853,97.82010815,95.02863697,,José Ureña,SP,R,R,TEX,33,8.045,0.08463604,-0.003264301,,0,,,,,,
11752,Luke Jackson,- - -,4,3,0,52,0,53,10.01886937,4.415094975,1.188679416,0.319148936,0.66951567,0.506849315,0.155555555,5.094340356,4.08,4.241951631,3.808751159,-0.115431346,0.31733915,94.95040002,-1.276960962,0.0087241,90.67034912,-0.262370471,,,,,,,0.51472192,87.61442333,0.37962063,0.15921483,84.86926102,-0.57793206,,,,,,,,,,,,,,,136.5231149,97.32254561,,143.9948462,,91.625,,128.131215,94.82373378,106.5363918,,Luke Jackson,RP,R,R,ATL,33,8.019,-0.115431346,0.153787598,,0,,,,,,
11760,Drew Smyly,CHC,4,8,0,50,0,58.2,8.590910581,3.835227938,1.534091175,0.288343558,0.78873239,0.352941176,0.136986301,3.835227938,3.78,4.905116443,4.570626845,-0.278660327,,,,0.03146509,88.765625,-0.255632918,0.48180924,92.85661671,-0.921953011,,,,0.01081613,81.35544656,-0.008497383,0.47492625,80.246579,-1.354659207,,,,,,,,,,,,,0.00098328,,,,76.50983607,,107.2927126,92.8030303,,91.92463054,100.588867,101.3605911,,Drew Smyly,RP,L,L,CHC,36,12.143,-0.278660327,0.272130579,,0,,,,,,
