playerid,Name_x,Team,G,PA,H,1B,2B,3B,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,xBA,wOBA,xwOBA,SLG,xSLG,OBP,wRC+,Off,Def,Spd,BsR,WAR,BB/K,Barrel%,HardHit%,O-Swing% (sc),Z-Swing% (sc),Swing% (sc),O-Contact% (sc),Z-Contact% (sc),Contact% (sc),Pull%,Cent%,Oppo%,EV,LA,maxEV,LD%,GB%,FB%,Clutch,Name_y,Pos,Bats,Thr,Prev Team,Age,Service Time,2024 WAR,Proj WAR,Med Years,Med Total,Med AAV,QO,Signing Team,Years,Total Salary,AAV
19262,Garrett Hampson,KCR,113,231,49,35,13,1,0,16,16,7,0.06060606,0.255411255,0.070422535,0.314102564,0.230046948,0.206,0.255045471,0.244,0.300469483,0.282,0.27510917,58.72621381,-9.467387124,6.445569033,4.979446531,1.441787593,0.483204289,0.237288135,0.0443038,0.30379747,0.2585752,0.61507937,0.46206116,0.6122449,0.84193548,0.78676471,0.38607595,0.31012658,0.30379747,85.96007088,16.11731685,109.144,0.198675496,0.36423841,0.437086092,-0.316697764,Garrett Hampson,2B/3B/SS/OF,R,R,KCR,30,6.01,0.483204246,0.145650402,,0,,,,,,
9218,Paul Goldschmidt,STL,154,654,147,91,33,1,22,70,65,11,0.071865443,0.264525993,0.168614357,0.307881773,0.245409015,0.255,0.309822555,0.329,0.414023372,0.45,0.301538461,99.66620027,-0.314735921,-10.66998804,4.457351272,-0.053685129,1.114793229,0.2716763,0.10648148,0.48148148,0.28878282,0.6390411,0.47699669,0.61707989,0.79849946,0.74768519,0.4135514,0.3271028,0.25934579,91.24618545,13.09171206,111.445,0.212616822,0.429906542,0.357476635,-0.322939432,Paul Goldschmidt,1B,R,R,STL,37,13.059,1.114793181,1.877139449,1,14000000,14000000,0,NYY,1,12500000,12500000
15172,Tim Anderson,MIA,65,241,50,47,3,0,0,16,9,4,0.029045643,0.282157676,0.012820513,0.301204819,0.213675213,0.215,0.207583638,0.23,0.226495726,0.283,0.236514522,26.76256375,-22.50513295,0.492516756,2.911151396,-1.398864388,-1.444553375,0.102941176,0.01807229,0.30120482,0.38105727,0.69857434,0.54603175,0.53757225,0.79591837,0.70930233,0.41818182,0.2969697,0.28484848,86.10488873,1.396488629,108.881,0.224242424,0.624242424,0.151515151,-0.323311793,Tim Anderson,SS/2B,R,R,MIA,32,8.043,-1.444553494,0.059142917,,0,,,LAA,1,0,
10950,Adam Duvall,ATL,104,330,55,34,10,0,11,29,30,0,0.063636363,0.3,0.141914192,0.226804123,0.181518151,0.197,0.251942584,0.283,0.323432343,0.387,0.245454545,58.0482845,-16.83033124,-4.005969144,1.248626365,-0.275492713,-1.016972752,0.212121212,0.10731707,0.36585366,0.32835821,0.64098613,0.49041534,0.51515152,0.85096154,0.74267101,0.52195122,0.30243902,0.17560976,86.87356136,22.17744141,112.96,0.180487804,0.312195121,0.507317073,-0.327691484,Adam Duvall,LF/RF,R,R,ATL,36,8.151,-1.016972661,0.015099362,1,3000000,3000000,,,,,
17232,Yoán Moncada,CHW,12,45,11,7,3,1,0,4,0,1,0.111111111,0.244444444,0.125,0.379310344,0.275,0.264,0.332686112,0.314,0.4,0.346,0.355555555,117.2976543,0.776066162,0.385255132,6.484876064,-0.114580274,0.274865406,0.454545454,0,0.34482759,0.25,0.63,0.44791667,0.34782609,0.9047619,0.75581395,0.4137931,0.24137931,0.34482759,90.23158843,6.060114367,108.573,0.275862068,0.551724137,0.172413793,-0.336211592,Yoán Moncada,3B,S,R,CHW,30,7.106,0.274865419,1.044775486,,0,,,,,,
16572,Connor Joe,PIT,123,416,83,51,22,1,9,49,36,2,0.10576923,0.21875,0.14010989,0.278195488,0.228021978,0.206,0.304952391,0.277,0.368131868,0.308,0.319711538,92.33366157,-4.215961721,-4.881349564,3.030702609,-0.402296185,0.491179032,0.483516483,0.04727273,0.32,0.22347066,0.62705882,0.43125379,0.52513966,0.85178236,0.76966292,0.41818182,0.30181818,0.28,85.33918796,16.34115534,109.403,0.149090909,0.429090909,0.421818181,-0.355154189,Connor Joe,1B/RF/LF,R,R,PIT,32,3.136,0.491179049,0.260527581,,0,,,,,,
2136,David Peralta,SDP,91,260,63,44,11,0,8,35,28,2,0.084615384,0.207692307,0.148305085,0.316091954,0.266949152,0.259,0.32920126,0.313,0.415254237,0.376,0.334615384,114.9183881,4.053279601,-8.522922039,3.466410044,-0.584995806,0.432590906,0.407407407,0.05494505,0.41758242,0.32941176,0.68972332,0.50885827,0.49404762,0.87679083,0.75241779,0.37912088,0.37912088,0.24175824,88.07105297,8.925525036,111.559,0.219780219,0.472527472,0.307692307,-0.369985247,David Peralta,RF/LF,L,L,SDP,37,10.079,0.432590872,0.19515954,,0,,,,,,
19339,Nicky Lopez,CHW,124,445,96,80,12,3,1,40,21,5,0.083146067,0.150561797,0.052763819,0.287878787,0.24120603,0.227,0.275143851,0.268,0.293969849,0.288,0.312072892,76.82125267,-12.2590813,5.821554422,3.716672204,-0.45708213,0.867200548,0.552238805,0.0148368,0.16913947,0.29709229,0.65591398,0.48157248,0.66382979,0.8870674,0.82015306,0.30267062,0.38575668,0.3115727,84.99985068,5.575297971,106.521,0.176829268,0.560975609,0.262195121,-0.389663436,Nicky Lopez,2B/SS,L,R,CHW,30,5.139,0.867200553,0.527537107,,0,,,,,,
17128,Ramón Laureano,- - -,98,309,74,46,16,1,11,35,33,8,0.048543689,0.310679611,0.178321679,0.35,0.258741258,0.235,0.324089857,0.311,0.437062937,0.43,0.310679611,107.6025912,2.276995408,-3.713154018,4.832401629,-0.744042993,0.91470151,0.15625,0.12041885,0.40314136,0.3041958,0.72861842,0.52288136,0.44827586,0.81038375,0.7082658,0.43455497,0.31413613,0.2513089,89.17612893,13.2564317,110.729,0.240837696,0.387434554,0.371727748,-0.431619524,Ramón Laureano,RF/LF/CF,R,R,ATL,30,5.159,0.914701462,0.430118054,,0,,,,,,
15676,José Abreu,HOU,35,120,14,10,2,0,2,10,7,0,0.033333333,0.233333333,0.07079646,0.142857142,0.123893805,0.161,0.163517737,0.198,0.194690265,0.24,0.166666666,0.357565316,-14.42534769,-4.190297246,2.64285714,-0.743927419,-1.509443466,0.142857142,0.02325581,0.3255814,0.34177215,0.6746988,0.51234568,0.54320988,0.85119048,0.75100402,0.26744186,0.45348837,0.27906977,87.81733739,6.748952466,109.706,0.139534883,0.53488372,0.325581395,-0.456566344,José Abreu,1B,R,R,HOU,38,10.054,-1.509443521,-0.061716475,,0,,,,,,
20123,Juan Soto,NYY,157,713,166,90,31,4,41,128,109,7,0.180925666,0.16690042,0.28125,0.297619047,0.288194444,0.316,0.420584882,0.462,0.569444444,0.646,0.419354838,179.6323631,61.14103099,-6.089182019,4.300614076,-3.824761547,8.14035872,1.084033613,0.19739696,0.56832972,0.18449712,0.57593123,0.3692932,0.62152778,0.86069652,0.79761905,0.45119306,0.34707158,0.20173536,94.18303571,10.68043656,115.731,0.203947368,0.436403508,0.359649122,-0.54433078,Juan Soto,LF/RF,L,L,NYY,26,6.134,8.140358925,6.451408386,13,585000000,45000000,21050000,NYM,15,765000000,51000000
16219,J.D. Davis,- - -,46,157,31,22,5,0,4,13,6,0,0.076433121,0.248407643,0.11971831,0.272727272,0.218309859,0.212,0.282155767,0.284,0.338028169,0.347,0.29299363,85.67779743,-3.417106787,-5.899348333,0.960164828,-0.844253205,-0.421660013,0.307692307,0.08737864,0.4368932,0.23255814,0.73556231,0.51448041,0.38333333,0.7768595,0.6986755,0.40776699,0.36893204,0.22330097,89.05278823,2.818078172,111.775,0.116504854,0.640776699,0.242718446,-0.574347691,J.D. Davis,3B/1B,R,R,NYY,32,6.092,-0.421660721,0.198700204,,0,,,LAA,1,0,
18015,Paul DeJong,- - -,139,482,101,60,17,0,24,54,56,2,0.047717842,0.323651452,0.2,0.285185185,0.226966292,0.218,0.302387195,0.291,0.426966292,0.395,0.275933609,95.00773614,-5.143344905,5.779819161,2.325336282,-2.390066192,1.725171565,0.147435897,0.10204082,0.41156463,0.34458673,0.78427419,0.5802269,0.42905405,0.76349614,0.67132216,0.44897959,0.30952381,0.2414966,87.82765831,19.96083038,111.53,0.227891156,0.31632653,0.455782312,-0.603142293,Paul DeJong,SS/3B,R,R,KCR,31,7.057,1.725168467,0.422653735,,0,,,,,,
