Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,NameASCII,playerid,MLBAMID
Diego Castillo,SEA,0,0,0,8,0,8.2,7.269231302,7.269231302,2.076923229,0.208333333,0.73770492,0.538461538,0.181818181,94.16287231,6.230769688,5.06,7.408886818,6.50737167,-0.219139248,Diego Castillo,17496,650895
Chad Smith,OAK,1,2,0,10,0,13.2,5.926830371,4.609756955,1.317073416,0.325,0.66037736,0.547619047,0.153846153,,6.585367079,5.48,5.816016446,5.486277809,-0.220146537,Chad Smith,20190,663385
Amir Garrett,KCR,0,1,0,27,0,24.1,10.35616574,7.39726124,1.479452248,0.3,0.85164835,0.475409836,0.166666666,95.03884626,3.328767558,4.93,5.556410523,5.050127255,-0.220334738,Amir Garrett,14375,607237
Ross Stripling,SFG,0,5,0,22,11,89,7.078651989,1.617977597,2.022471997,0.307692308,0.72340426,0.440273037,0.219780219,92.41886051,5.359550792,5.59,5.210096623,3.979253982,-0.224610388,Ross Stripling,13273,548389
Cody Morris,CLE,0,0,0,6,0,8,10.125,6.75,3.375,0.35,0.84745763,0.434782608,0.333333333,95.14143372,6.75,8.22,8.130040359,5.115061083,-0.233516797,Cody Morris,25388,663752
Logan Gillaspie,BAL,0,1,0,11,0,9,8.000003391,5.000002119,2.000000848,0.4,0.75581395,0.34375,0.222222222,95.76321847,6.000002543,8.69,6.366152789,5.130615131,-0.233827338,Logan Gillaspie,22461,670810
Kyle Leahy,STL,0,1,0,3,0,1.2,10.80001107,27.00002768,5.400005536,0.5,0.69767442,0.428571428,0.333333333,95.89646694,21.60002214,18.47,19.45505697,14.63108518,-0.234769583,Kyle Leahy,24763,681517
Michael Plassmeyer,PHI,0,1,0,1,1,3.2,9.818183521,0,7.36363764,0.384615385,0.14705882,0.3125,0.375,89.18040114,22.09091292,15.59,14.16413316,7.135081223,-0.237125039,Michael Plassmeyer,23191,674681
Brock Burke,TEX,5,3,0,53,0,59.2,7.843576756,1.357542131,1.960894189,0.293103448,0.75704225,0.385869565,0.175675675,94.77456494,4.374302422,4.24,4.89749874,4.115622011,-0.237592205,Brock Burke,17968,656271
Joey Estes,OAK,0,1,0,2,2,10,6.300000601,1.800000172,3.600000343,0.258064516,0.70175439,0.285714285,0.19047619,93.16780388,7.200000687,7.82,8.555040865,6.827079383,-0.247228011,Joey Estes,26257,683155
