playerid,Name_x,Position,Bats,Throws,Prev_Team,Age,Service,WAR_19,WAR_proj,Years_Med,Total_Med,AAV_Med,QO,Signing_Team,Years,Total,AAV,Name_y,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,MLBAMID
17678,Alex Bregman,3B,R,R,HOU,31,8.1,4.1,4.0,6.0,"$162,000,000","$27,000,000","$21,050,000",,,,,Alex Bregman,HOU,145,634,26,79,75,3,0.06940063,0.135646687,0.192771085,0.264270613,0.259896729,0.315457413,0.452667814,0.3307042115295856,0.319,117.95994545268115,-2.298741914331913,10.729921920285465,8.094865083694458,4.126927442921624,Alex Bregman,608324
10681,Gio Urshela,3B,R,R,ATL,33,7.1,0.7,1.4,,$0,,,ATH,1.0,"$2,150,000","$2,150,000",Gio Urshela,- - -,128,461,9,34,52,0,0.04989154,0.156182212,0.111111111,0.278089887,0.25,0.286334056,0.361111111,0.2813197794167892,0.302,81.14010877018599,-2.7154559642076492,-12.701827195292012,4.164376060478389,0.7049252839965132,Gio Urshela,570482
17232,Yoán Moncada,3B,S,R,CHW,30,7.1,0.3,1.0,,$0,,,,,,,Yoán Moncada,CHW,12,45,0,4,0,1,0.111111111,0.244444444,0.125,0.379310344,0.275,0.355555555,0.4,0.3326861116621229,0.314,117.29765428171028,-0.1145802736282348,0.7760661616325853,0.3852551318705082,0.2748654059361298,Yoan Moncada,660162
19844,Abraham Toro,3B/1B,S,R,ATH,28,3.2,0.7,0.5,,$0,,,,,,,Abraham Toro,OAK,94,364,6,34,26,4,0.054945054,0.17032967,0.109792284,0.278810408,0.240356083,0.292817679,0.350148367,0.2830058539343012,0.291,86.83298532864347,0.5989809110760689,-4.884979494480465,-0.1016639769077301,0.7381762886712189,Abraham Toro,647351
16219,J.D. Davis,3B/1B,R,R,NYY,32,6.1,-0.4,0.2,,$0,,,,,,,J.D. Davis,- - -,46,157,4,13,6,0,0.076433121,0.248407643,0.11971831,0.272727272,0.218309859,0.29299363,0.338028169,0.2821557669882562,0.284,85.67779743002278,-0.8442532047629356,-3.4171067870236733,-5.899348333477974,-0.421660013329999,J.D. Davis,605204
8623,Donovan Solano,3B/1B/DH,R,R,SDP,37,9.1,0.8,0.7,,$0,,,SEA,1.0,"$3,500,000","$3,500,000",Donovan Solano,SDP,96,309,8,31,35,2,0.071197411,0.210355987,0.130742049,0.345971563,0.286219081,0.343042071,0.41696113,0.3331028579894007,0.307,117.54443126774406,-3.151307813823223,3.3314389672151803,-6.015869975090027,0.7854868203586602,Donovan Solano,456781
19734,Josh Rojas,3B/2B,L,R,SEA,31,4.1,1.9,1.1,,$0,,,CHW,1.0,"$3,500,000","$3,500,000",Josh Rojas,SEA,143,476,8,48,31,10,0.096638655,0.226890756,0.111374407,0.282467532,0.225118483,0.304439746,0.33649289,0.2855414129414801,0.293,91.02579097798856,-1.6326988488435743,-6.520446106765823,8.89490807056427,1.8840100851636372,Josh Rojas,668942
13836,Matt Duffy,3B/2B/1B,R,R,TEX,34,8.1,0.1,0.0,,$0,,,,,,,Matt Duffy,TEX,4,10,0,2,0,0,0.2,0.1,0.0,0.333333333,0.285714285,0.5,0.285714285,0.3861874878406525,0.482,155.4602356832135,0.0485720038414001,0.6831533741824325,0.3894960433244705,0.1452089696879918,Matt Duffy,622110
15937,Aledmys Díaz,3B/2B/1B/SS,R,R,HOU,34,8.1,-0.5,0.0,,$0,,,,,,,Aledmys Díaz,- - -,14,34,0,2,1,0,0.029411764,0.264705882,0.0,0.125,0.09090909,0.117647058,0.09090909,0.0980665543500114,0.204,-41.8171992639642,-0.0748626701533794,-5.659110805120995,-0.655495673418045,-0.5351024314435188,Aledmys Diaz,649557
13324,Ildemaro Vargas,3B/2B/SS,S,R,WSN,33,5.0,-0.1,0.3,,$0,,,,,,,Ildemaro Vargas,WSN,97,303,1,21,30,9,0.06270627,0.102310231,0.069852941,0.269387755,0.246323529,0.295302013,0.31617647,0.2709401095873557,0.28,72.39160171230857,-0.7653250321745872,-10.768667205311148,1.1034390926361084,0.0438904347615242,Ildemaro Vargas,545121
14813,Kyle Farmer,3B/2B/SS,R,R,MIN,34,6.1,0.5,0.3,,$0,,,COL,1.0,"$3,250,000","$3,250,000",Kyle Farmer,MIN,107,242,5,26,25,3,0.078512396,0.202479338,0.139534884,0.251533742,0.213953488,0.293388429,0.353488372,0.2849687038615531,0.294,84.91941527097971,-3.161366395652294,-7.337161246158709,4.581601977348328,0.5485738865319835,Kyle Farmer,571657
16622,Luis Urías,3B/2B/SS,R,R,SEA,28,5.0,0.2,0.5,,$0,,,,,,,Luis Urías,SEA,41,109,4,11,16,0,0.082568807,0.311926605,0.20212766,0.25,0.191489361,0.302752293,0.393617021,0.3089437703473852,0.318,107.4874870924155,-0.4120606034994125,0.5217701924702913,-2.2808196246623993,0.1935964563445597,Luis Urias,649966
10472,Enrique Hernández,3B/2B/SS/OF,R,R,LAD,33,10.1,0.7,0.6,1.0,"$5,000,000","$5,000,000",,,,,,Enrique Hernández,LAD,126,393,12,44,42,0,0.06870229,0.195928753,0.143646409,0.257246376,0.229281767,0.280612244,0.372928176,0.2851201274565288,0.285,83.2703482068112,0.4877079874277115,-7.3744313525860115,1.1135385893285277,0.7050151089713362,Enrique Hernandez,571771
12037,Jon Berti,3B/2B/SS/OF,R,R,NYY,35,5.2,0.3,0.4,,$0,,,CHC,1.0,"$2,000,000","$2,000,000",Jon Berti,NYY,25,74,1,10,6,5,0.081081081,0.189189189,0.045454546,0.333333333,0.272727272,0.342465753,0.318181818,0.2999132806307649,0.307,94.74949441968909,0.97250796854496,0.5279397100498737,-0.5191783905029297,0.2556733309069706,Jon Berti,542932
19293,Nick Senzel,3B/LF/RF,R,R,CHW,30,5.1,-0.5,0.1,,$0,,,,,,,Nick Senzel,- - -,74,267,7,25,18,1,0.104868913,0.228464419,0.13559322,0.232142857,0.194915254,0.283018867,0.330508474,0.2733363888480447,0.298,73.34590351742294,-0.7193201929330826,-9.01050782709698,-4.991715312004089,-0.5277235227949236,Nick Senzel,669222
12976,Austin Hedges,C,R,R,CLE,32,8.2,0.4,0.7,,$0,,,CLE,1.0,"$4,000,000","$4,000,000",Austin Hedges,CLE,66,146,2,12,15,2,0.04109589,0.342465753,0.068181818,0.219512195,0.151515151,0.202797202,0.219696969,0.1914935778904628,0.166,19.734486824238942,-0.6553950011730194,-14.064118949694125,13.23141312599182,0.416651361904975,Austin Hedges,595978
