Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,playerid,MLBAMID
Nico Hoerner,CHC,150,688,9,98,68,43,0.07122093,0.120639534,0.100161551,0.312030075,0.282714054,0.34643377,0.382875605,0.322124632,0.311,104.0440949,6.810925878,10.25782229,12.82720399,4.632974484,Nico Hoerner,21479,663538
Xander Bogaerts,SDP,155,665,19,83,58,19,0.084210526,0.165413533,0.154362416,0.3192389,0.285234899,0.350375939,0.439597315,0.342803111,0.318,119.0440029,0.95579058,16.64490183,7.141026258,4.624941012,Xander Bogaerts,12161,593428
José Ramírez,CLE,156,691,24,87,80,28,0.105643994,0.105643994,0.193126023,0.284615384,0.281505728,0.356005788,0.474631751,0.345839334,0.359,121.7051146,2.473982797,20.44500204,2.156986713,4.620762609,Jose Ramirez,13510,608070
Adolis García,TEX,148,632,39,108,107,9,0.102848101,0.276898734,0.263063063,0.279538904,0.245045045,0.327531645,0.508108108,0.354163037,0.366,126.2550868,1.398618102,21.28075752,2.898887157,4.575984141,Adolis Garcia,19287,666969
Alex Bregman,HOU,161,724,25,103,98,3,0.127071823,0.120165745,0.178456592,0.26953125,0.262057877,0.363259668,0.440514469,0.351158036,0.351,125.6918705,-4.134595278,18.15318763,2.23215875,4.512762642,Alex Bregman,17678,608324
Cody Bellinger,CHC,130,556,26,95,97,20,0.071942446,0.15647482,0.218436874,0.319095477,0.306613226,0.356115107,0.5250501,0.370215052,0.327,136.2831509,2.452670529,27.44451124,-1.755937338,4.445368284,Cody Bellinger,15998,641355
Cal Raleigh,SEA,145,569,30,78,75,0,0.094903339,0.27768014,0.22417154,0.273006134,0.23196881,0.305799648,0.45614035,0.326183095,0.33,113.1896405,-2.216638582,6.77580671,17.23001182,4.342850674,Cal Raleigh,21534,663728
Yordan Alvarez,HOU,114,496,31,77,97,0,0.139112903,0.18548387,0.290243903,0.305841924,0.292682926,0.407258064,0.582926829,0.415487398,0.435,170.2799612,-4.483689058,37.28451173,-11.16071355,4.303996392,Yordan Alvarez,19556,670541
Ketel Marte,ARI,150,650,25,94,82,8,0.109230769,0.167692307,0.20913884,0.3,0.275922671,0.358461538,0.485061511,0.360823085,0.342,125.7840094,-0.016931385,20.74569387,0.325091481,4.303372685,Ketel Marte,13613,606466
Isaac Paredes,TBR,143,571,31,71,98,1,0.101576182,0.182136602,0.237804878,0.25698324,0.25,0.35201401,0.487804878,0.36229809,0.315,135.904878,-1.911413918,22.65389004,0.385985695,4.253380063,Isaac Paredes,20036,670623
