playerid,Name_x,Position,Bats,Throws,Prev_Team,Age,Service,WAR_19,WAR_proj,Years_Med,Total_Med,AAV_Med,QO,Signing_Team,Years,Total,AAV,Name_y,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,MLBAMID
15279,Garrett Cooper,1B/DH,R,R,SDP,33,6.1,0.4,,,$0,,,CHC,1.0,"$733,871","$733,871",Garrett Cooper,- - -,123,457,17,42,61,0,0.067833698,0.288840262,0.168246445,0.323636363,0.251184834,0.304157549,0.419431279,0.312535582,0.318,94.26327719,-2.525288577,-5.773157724,-5.622846663,0.411967682,Garrett Cooper,643265
19262,Garrett Hampson,SS/2B/3B/OF,R,R,MIA,29,5.0,0.6,,,$0,,,KCR,1.0,"$2,000,000","$2,000,000",Garrett Hampson,MIA,98,252,3,30,23,5,0.091269841,0.265873015,0.104072398,0.379084967,0.276018099,0.34939759,0.380090497,0.322908502,0.291,99.37406136,1.488098567,1.292686779,-3.841279328,0.599654788,Garrett Hampson,641658
11442,Gary Sánchez,C,R,R,SDP,31,7.1,1.6,,1.0,"$5,000,000","$5,000,000",,MIL,1.0,"$7,000,000","$7,000,000",Gary Sánchez,- - -,75,267,19,33,47,0,0.078651685,0.250936329,0.275,0.211538461,0.216666666,0.288389513,0.491666666,0.329477669,0.343,110.1065366,-0.815500864,2.52746599,4.885125026,1.643780204,Gary Sanchez,596142
10681,Gio Urshela,3B/1B/SS,R,R,LAA,32,6.1,0.5,,,$0,,,DET,1.0,"$1,500,000","$1,500,000",Gio Urshela,LAA,62,228,2,22,24,3,0.043859649,0.157894736,0.074766355,0.346368715,0.29906542,0.328947368,0.373831775,0.306958834,0.289,91.75703771,-0.363421127,-2.615329618,-0.224060968,0.497853391,Gio Urshela,570482
11902,Hanser Alberto,2B/3B,R,R,CHW,31,6.2,-0.3,,,$0,,,,,,,Hanser Alberto,CHW,30,90,3,11,16,0,0.044444444,0.144444444,0.170731707,0.223880597,0.219512195,0.261363636,0.390243902,0.279159994,0.274,73.74303093,-0.494224778,-3.325745083,-2.491457701,-0.271791274,Hanser Alberto,593643
18030,Harrison Bader,CF,R,R,CIN,30,6.0,1.0,,2.0,"$18,000,000","$9,000,000",,NYM,1.0,"$10,500,000","$10,500,000",Harrison Bader,- - -,98,344,7,44,40,20,0.049418604,0.171511627,0.115987461,0.260700389,0.231974921,0.274052478,0.347962382,0.27077067,0.288,67.82164759,3.55821482,-9.823574163,7.554142207,0.950765166,Harrison Bader,664056
15117,Hunter Dozier,3B/1B/LF/RF,R,R,KCR,32,5.1,-0.2,,,$0,,,LAA,1.0,$0,,Hunter Dozier,KCR,29,91,2,8,9,2,0.087912087,0.318681318,0.121951219,0.25,0.182926829,0.252747252,0.304878048,0.246782072,0.241,47.36491051,0.993152623,-4.746020642,-0.694699824,-0.230824002,Hunter Dozier,641531
15464,Hunter Renfroe,RF/LF,R,R,CIN,32,6.2,0.4,,1.0,"$8,000,000","$8,000,000",,KCR,2.0,"$13,000,000","$6,500,000",Hunter Renfroe,- - -,140,548,20,60,60,0,0.08029197,0.228102189,0.182730924,0.269662921,0.232931726,0.297445255,0.41566265,0.308031305,0.289,92.12886525,-1.592693675,-6.910586362,-8.276488051,0.361057704,Hunter Renfroe,592669
16512,Isiah Kiner-Falefa,SS/3B/LF/CF,R,R,NYY,29,6.0,0.5,,,$0,,,TOR,2.0,"$15,000,000","$7,500,000",Isiah Kiner-Falefa,NYY,115,361,6,39,37,14,0.077562326,0.193905817,0.098159509,0.288537549,0.242331288,0.305555555,0.340490797,0.286483511,0.295,79.32134433,0.0179043,-8.926719551,1.694696903,0.515408786,Isiah Kiner-Falefa,643396
6184,J.D. Martinez,DH,R,R,LAD,36,12.0,2.4,,1.0,"$12,000,000","$12,000,000",,NYM,1.0,"$12,000,000","$8,966,565",J.D. Martinez,LAD,113,479,33,61,103,1,0.07098121,0.311064718,0.300925926,0.324324324,0.270833333,0.320754716,0.571759259,0.369350391,0.369,134.8517529,-0.840923718,19.84041265,-11.79139367,2.425514412,J.D. Martinez,502110
12984,Jackie Bradley Jr.,CF/RF/LF,L,R,KCR,34,9.1,-0.6,,,$0,,,,,,,Jackie Bradley Jr.,KCR,43,113,1,10,6,0,0.044247787,0.256637168,0.076190476,0.173333333,0.133333333,0.1875,0.209523809,0.180488595,0.246,1.415448601,-0.242665893,-13.59077925,4.111836892,-0.558146685,Jackie Bradley Jr.,598265
13723,Jacob Stallings,C,R,R,MIA,34,5.1,-0.4,,,$0,,,COL,1.0,"$2,000,000","$2,000,000",Jacob Stallings,MIA,89,276,3,22,20,0,0.097826086,0.242753623,0.095435684,0.248554913,0.190871369,0.278388278,0.286307053,0.256358633,0.262,54.76008243,-3.15205317,-18.62059389,4.865425587,-0.436523229,Jacob Stallings,607732
13329,Jake Lamb,1B/3B,L,R,LAA,33,8.0,0.0,,,$0,,,PIT,1.0,$0,,Jake Lamb,LAA,19,54,2,7,5,0,0.055555555,0.277777777,0.137254902,0.264705882,0.215686274,0.259259259,0.352941176,0.266665804,0.275,63.82905548,-0.218406544,-2.558785517,0.544519365,-0.015886196,Jake Lamb,571875
11339,Jake Marisnick,CF/RF/LF,R,R,LAD,33,9.1,0.4,,,$0,,,LAA,1.0,$0,,Jake Marisnick,- - -,46,83,2,10,10,2,0.036144578,0.253012048,0.171052631,0.296296296,0.236842105,0.280487804,0.407894736,0.294205227,0.277,85.98447097,-0.486210374,-1.911410305,2.91577466,0.38423664,Jake Marisnick,545350
18607,Jared Walsh,1B,L,L,LAA,30,3.1,-0.9,,,$0,,,TEX,1.0,"$181,452","$181,452",Jared Walsh,LAA,39,116,4,10,11,0,0.094827586,0.387931034,0.153846153,0.163636363,0.125,0.215517241,0.278846153,0.22228493,0.225,33.06769844,-0.121058825,-9.424129635,-3.245236635,-0.866011598,Jared Walsh,665120
4940,Jason Heyward,RF/LF/CF,L,L,LAD,34,14.0,2.3,,1.0,"$10,000,000","$10,000,000",,LAD,1.0,"$9,000,000","$9,000,000",Jason Heyward,LAD,124,377,15,56,40,2,0.090185676,0.169761273,0.203592815,0.290697674,0.269461077,0.339572192,0.473053892,0.347728344,0.319,120.3566753,-1.321715225,8.18579188,1.616006613,2.254713892,Jason Heyward,518792
5933,Jean Segura,2B/3B,R,R,MIA,34,11.0,-1.3,,,$0,,,,,,,Jean Segura,MIA,85,326,3,25,21,6,0.067484662,0.144171779,0.059800665,0.250996015,0.219269102,0.276923076,0.279069767,0.249558131,0.281,50.20113379,-1.559470347,-21.67148205,-2.197857738,-1.275679558,Jean Segura,516416
13621,Jeimer Candelario,3B/1B,S,R,CHC,30,6.0,3.2,,3.0,"$36,000,000","$12,000,000",,CIN,3.0,"$45,000,000","$15,000,000",Jeimer Candelario,- - -,140,576,22,77,70,8,0.092013888,0.220486111,0.21980198,0.291666666,0.251485148,0.335652173,0.471287128,0.345868021,0.318,118.381445,-0.151023246,12.96555611,-0.046938419,3.239741586,Jeimer Candelario,600869
13590,Jesse Winker,LF/RF/DH,L,L,MIL,30,6.1,-0.8,,,$0,,,WSN,1.0,"$2,000,000","$2,000,000",Jesse Winker,MIL,61,197,1,16,23,0,0.131979695,0.258883248,0.048192771,0.278260869,0.19879518,0.319796954,0.246987951,0.269283669,0.287,65.68690511,-1.126761307,-9.500985341,-5.214807265,-0.79997195,Jesse Winker,608385
5452,Ji Man Choi,1B/DH,L,R,SDP,33,6.1,-0.5,,,$0,,,NYM,1.0,$0,,Ji Man Choi,- - -,39,117,6,12,13,0,0.085470085,0.299145299,0.221153846,0.169230769,0.163461538,0.239316239,0.384615384,0.266868715,0.349,64.04812193,-0.098131543,-5.309189481,-3.561144292,-0.488123135,Ji Man Choi,596847
11899,Joc Pederson,DH/LF/RF,L,L,SFG,32,9.0,0.7,,2.0,"$24,000,000","$12,000,000",,ARI,1.0,"$12,500,000","$12,500,000",Joc Pederson,SFG,121,425,15,59,51,0,0.134117647,0.209411764,0.181564246,0.26848249,0.234636871,0.348235294,0.416201117,0.330896612,0.366,109.3430241,0.080400313,4.999604581,-12.06636548,0.735250732,Joc Pederson,592626
14128,Joey Gallo,RF/LF/1B,L,R,MIN,30,7.1,0.8,,1.0,"$8,000,000","$8,000,000",,WSN,1.0,"$5,000,000","$5,000,000",Joey Gallo,MIN,111,332,21,39,40,1,0.144578313,0.427710843,0.262411348,0.243697478,0.177304964,0.301204819,0.439716312,0.319566099,0.295,102.9302116,0.244580576,1.410234525,-4.781776488,0.801029787,Joey Gallo,608336
4314,Joey Votto,1B,L,R,CIN,40,16.0,0.0,,,$0,,,TOR,1.0,$0,,Joey Votto,CIN,65,242,14,26,38,0,0.111570247,0.256198347,0.230769231,0.212121212,0.201923076,0.314049586,0.432692307,0.325649298,0.298,97.33810585,-0.48072404,-1.278763942,-6.704815149,0.02381079,Joey Votto,458015
13853,Joey Wendle,3B/2B/SS,L,R,MIA,34,6.1,-0.8,,,$0,,,NYM,1.0,"$2,000,000","$2,000,000",Joey Wendle,MIA,112,318,2,33,20,7,0.040880503,0.210691823,0.094276094,0.264069264,0.212121212,0.247619047,0.306397306,0.241842093,0.263,45.02842369,1.738098646,-19.91817689,1.033500433,-0.805725956,Joey Wendle,621563
15104,Jonathan Davis,CF/LF/RF,R,R,MIA,32,3.0,0.1,,,$0,,,MIA,1.0,$0,,Jonathan Davis,MIA,34,104,2,22,10,1,0.067307692,0.278846153,0.133333333,0.327868852,0.244444444,0.306930693,0.377777777,0.298153287,0.292,82.77855697,-0.485106278,-2.703922522,-0.225757927,0.060219042,Jonathan Davis,641505
11265,Jonathan Schoop,2B/3B,R,R,DET,32,9.1,-0.3,,,$0,,,,,,,Jonathan Schoop,DET,55,151,0,15,7,0,0.086092715,0.245033112,0.058823529,0.287128712,0.213235294,0.278145695,0.272058823,0.248543699,0.276,54.21510832,-0.57579546,-8.859635739,0.733122379,-0.293120789,Jonathan Schoop,570731
16424,Jordan Luplow,RF/LF/1B,R,R,MIN,30,5.0,-0.2,,,$0,,,ATL,1.0,$0,,Jordan Luplow,- - -,39,90,2,11,5,2,0.133333333,0.3,0.116883117,0.291666666,0.207792207,0.322222222,0.324675324,0.290205788,0.273,82.41553773,0.932191431,-0.964096058,-1.153709203,0.097103405,Jordan Luplow,656669
