playerid,Name,Pos,Bats,Thr,Prev Team,Age,Service Time,2023 WAR,Proj WAR,Med Years,Med Total,Med AAV,QO,Signing Team,Years,Total Salary,AAV
10047,Wil Myers,1B/RF/LF,R,R,CIN,33,10.018,-0.735495627,,,0,,,,,,
15149,Trey Mancini,1B/RF/LF,R,R,CHC,32,6.141,-0.765000522,,,0,,,MIA,1,0,
15223,Adam Frazier,2B,L,R,BAL,32,7.075,0.43284592,,1,6000000,6000000,,KCR,1,4500000,4500000
12532,Kolten Wong,2B,L,R,LAD,33,10.031,-0.723648071,,,0,,,BAL,1,0,
8623,Donovan Solano,2B/1B/3B,R,R,MIN,36,8.081,1.183345675,,,0,,,SDP,1,790323,790323
11902,Hanser Alberto,2B/3B,R,R,CHW,31,6.152,-0.271791279,,,0,,,,,,
11265,Jonathan Schoop,2B/3B,R,R,DET,32,9.132,-0.293120801,,,0,,,,,,
5933,Jean Segura,2B/3B,R,R,MIA,34,11.018,-1.275679708,,,0,,,,,,
12371,Tommy La Stella,2B/3B/1B,L,R,SEA,35,8.092,-0.122591414,,,0,,,,,,
14894,Tony Kemp,2B/LF,L,R,OAK,32,6.098,-0.030089945,,,0,,,BAL,1,91398,91398
11281,Whit Merrifield,2B/LF/RF,R,R,TOR,35,7.101,1.297540903,,2,16000000,8000000,,PHI,1,8000000,8000000
11281,Whit Merrifield,2B/LF/RF,R,R,TOR,35,7.101,1.297540903,,2,16000000,8000000,,ATL,1,278495,278495
10472,Enrique Hernández,2B/SS/3B/OF,R,R,LAD,32,9.054,-1.11350739,,,0,,,LAD,1,4000000,4000000
5913,Leury García,2B/SS/LF/RF,S,R,CHW,33,8.025,,,,0,,,ATL,1,0,
16505,Matt Chapman,3B,R,R,TOR,31,6.109,2.994545221,,4,80000000,20000000,20325000,SFG,3,54000000,20000000
9368,Evan Longoria,3B,R,R,ARI,38,15.17,0.24136126,,,0,,,,,,
13621,Jeimer Candelario,3B/1B,S,R,CHC,30,6.038,3.238613129,,3,36000000,12000000,,CIN,3,45000000,15000000
15117,Hunter Dozier,3B/1B/LF/RF,R,R,KCR,32,5.118,-0.230824009,,,0,,,LAA,1,0,
10681,Gio Urshela,3B/1B/SS,R,R,LAA,32,6.127,0.497853428,,,0,,,DET,1,1500000,1500000
10681,Gio Urshela,3B/1B/SS,R,R,LAA,32,6.127,0.497853428,,,0,,,ATL,1,163118,163118
8202,Josh Harrison,3B/2B,R,R,PHI,36,11.122,-0.626155853,,,0,,,,,,
6153,Eduardo Escobar,3B/2B,S,R,LAA,35,11.128,-0.867517173,,,0,,,TOR,1,0,
13836,Matt Duffy,3B/2B/1B,R,R,KCR,33,8.059,-0.252943158,,,0,,,TEX,1,0,
19293,Nick Senzel,3B/2B/OF,R,R,CIN,29,4.15,-0.534005225,,,0,,,WSN,1,2000000,2000000
19293,Nick Senzel,3B/2B/OF,R,R,CIN,29,4.15,-0.534005225,,,0,,,CHW,1,298387,298387
13853,Joey Wendle,3B/2B/SS,L,R,MIA,34,6.088,-0.805725932,,,0,,,NYM,1,2000000,2000000
13853,Joey Wendle,3B/2B/SS,L,R,MIA,34,6.088,-0.805725932,,,0,,,ATL,1,19892,19892
18289,Brian Anderson,3B/RF,R,R,MIL,31,6.031,0.303822517,,,0,,,SEA,1,0,
8418,Ehire Adrianza,3B/SS/2B,S,R,ATL,34,9.131,-0.236630842,,,0,,0,LAA,1,0,
15161,Mitch Garver,C,R,R,TEX,33,6.045,2.15617919,,2,20000000,10000000,,SEA,2,24000000,12000000
11442,Gary Sánchez,C,R,R,SDP,31,7.05,1.643779755,,1,5000000,5000000,,MIL,1,7000000,7000000
14968,Victor Caratini,C,S,R,MIL,30,6.051,1.130742431,,,0,,,HOU,2,12000000,6000000
12976,Austin Hedges,C,R,R,TEX,31,7.166,1.028619289,,,0,,,CLE,1,4000000,4000000
13499,Tom Murphy,C,R,R,SEA,33,6.092,0.833575964,,1,4000000,4000000,,SFG,2,8250000,4125000
13355,Luke Maile,C,R,R,CIN,33,6.148,0.423343748,,,0,,,CIN,1,3500000,3500000
10200,Tucker Barnhart,C,L,R,CHC,33,9.047,0.213875562,,,0,,,ARI,1,409785,409785
