playerid,Name,Team,G,PA,H,1B,2B,3B,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,xBA,wOBA,xwOBA,SLG,xSLG,OBP,wRC+,Off,Def,Spd,BsR,WAR,BB/K,Barrel%,HardHit%,O-Swing% (sc),Z-Swing% (sc),Swing% (sc),O-Contact% (sc),Z-Contact% (sc),Contact% (sc),Pull%,Cent%,Oppo%,EV,LA,maxEV,LD%,GB%,FB%,Clutch,MLBAMID
12399,Taylor Motter,STL,29,82,13,10,3,0,0,3,2,0,0.060975609,0.37804878,0.039473684,0.288888888,0.171052631,0.186,0.204416701,0.232,0.210526315,0.269,0.231707317,24.05099144,-7.518631714,1.357872486,0.559523803,0.196696736,-0.33651364,0.161290322,0.08888889,0.46666667,0.31292517,0.65536723,0.5,0.5,0.81896552,0.72839506,0.48888889,0.31111111,0.2,86.9664605,19.19458008,114.824,0.222222222,0.355555555,0.422222222,0.055732652,600301
16593,Kevin Padlo,LAA,3,8,1,0,1,0,0,1,0,0,0,0,0.125,0.125,0.125,0.142,0.155470297,0.192,0.25,0.327,0.125,-13.24298807,-1.085119469,-0.574162379,2.64285714,0.000390673,-0.138056271,0,0.125,0.625,0.33333333,0.72727273,0.52173913,1,0.875,0.91666667,0.75,0.125,0.125,90.99797058,25.50914955,107.232,0,0.375,0.625,0.051835276,656821
15983,Clint Frazier,CHW,33,76,13,11,1,1,0,10,3,4,0.131578947,0.302631578,0.045454546,0.302325581,0.196969696,0.19,0.25630995,0.255,0.242424242,0.246,0.302631578,57.90516487,-4.109115329,-1.990362227,7.681458252,-0.275796137,-0.347894555,0.434782608,0,0.25581395,0.2202381,0.68421053,0.440625,0.37837838,0.86538462,0.73758865,0.34883721,0.37209302,0.27906977,82.53261832,11.41938675,109.159,0.209302325,0.465116279,0.325581395,0.050885249,640449
23264,Canaan Smith-Njigba,PIT,15,37,4,2,1,1,0,3,5,1,0.108108108,0.432432432,0.09375,0.235294117,0.125,0.155,0.198954386,0.239,0.21875,0.276,0.216216216,16.31262486,-4.234149645,-1.339466333,7.815312791,-0.398136132,-0.430428408,0.25,0.11764706,0.41176471,0.2962963,0.6025641,0.44654088,0.5,0.82978723,0.71830986,0.64705882,0.17647059,0.17647059,87.004294,0.155229807,106.865,0.176470588,0.647058823,0.176470588,0.050295133,675986
20056,Alan Trejo,COL,83,227,48,33,11,0,4,24,26,5,0.070484581,0.224669603,0.111111112,0.285714285,0.231884057,0.233,0.277353624,0.276,0.342995169,0.334,0.287610619,58.29504552,-11.02987834,1.942847133,4.254999183,0.698337947,-0.137043774,0.31372549,0.04402516,0.22641509,0.31529412,0.67111111,0.49828571,0.61940299,0.8807947,0.80045872,0.47169811,0.3081761,0.22012579,85.46590117,14.607722,104.201,0.25477707,0.407643312,0.337579617,0.049592065,676701
15274,Mike Tauchman,CHC,108,401,85,59,18,0,8,64,48,7,0.139650872,0.21446384,0.12462908,0.31300813,0.252225519,0.267,0.32999702,0.345,0.376854599,0.4,0.3625,109.3216188,4.770980666,-1.750719905,4.499885344,0.14020045,1.659789612,0.65116279,0.05490196,0.4,0.18476904,0.62197802,0.41729982,0.56756757,0.83922261,0.78291317,0.34117647,0.35294118,0.30588235,88.44286725,8.067286694,109.447,0.236220472,0.472440944,0.291338582,0.048516272,643565
23985,Osleivis Basabe,TBR,31,94,19,13,5,0,1,15,12,0,0.063829787,0.265957446,0.091954023,0.295081967,0.218390804,0.213,0.261673426,0.258,0.310344827,0.307,0.276595744,66.15971753,-3.35571009,-1.701546192,3.319341899,0.455776634,-0.182309723,0.24,0.03225806,0.37096774,0.38311688,0.7,0.55813953,0.61016949,0.83458647,0.765625,0.35483871,0.37096774,0.27419355,88.42860068,-2.300677392,106.381,0.129032258,0.596774193,0.274193548,0.048348443,678545
17109,Meibrys Viloria,CLE,10,4,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0.182,0.173975721,0.298,0,0.193,0.25,2.582677289,-0.474610376,-0.922746673,0.14285714,-0.007705124,-0.125639369,1,0,0,0.16666667,0.7,0.5,0,0.85714286,0.75,0.33333333,0.66666667,0,81.25656128,-21.56661479,88.9067,0,1,0,0.04746176,650619
12144,Max Kepler,MIN,130,491,114,66,22,2,24,72,66,1,0.091649694,0.215885947,0.223744292,0.288461538,0.260273972,0.271,0.348402961,0.362,0.484018264,0.503,0.33197556,122.9176721,10.51340422,0.822546005,3.311900833,-2.969534841,2.812262156,0.424528301,0.12202381,0.47619048,0.26282723,0.68317853,0.47453222,0.57370518,0.90181269,0.81161008,0.43452381,0.35119048,0.21428571,91.91195824,14.73039464,111.686,0.178571428,0.37797619,0.44345238,0.046818022,596146
31490,Wade Meckler,SFG,20,64,13,12,1,0,0,6,4,0,0.09375,0.390625,0.017857143,0.419354838,0.232142857,0.21,0.272837894,0.265,0.25,0.255,0.328125,70.42137836,-1.9961439,-1.639589205,1.491541346,0.349037083,-0.145709633,0.24,0,0.22580645,0.21830986,0.51162791,0.35793358,0.41935484,0.75757576,0.64948454,0.35483871,0.58064516,0.06451613,81.41140137,7.788146464,99.7275,0.366666666,0.433333333,0.2,0.045218785,685133
