playerid,Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,ERA,xERA,FIP,xFIP,WAR,FA% (pi),vFA (pi),wFA (pi),FC% (pi),vFC (pi),wFC (pi),SI% (pi),vSI (pi),wSI (pi),CH% (pi),vCH (pi),wCH (pi),SL% (pi),vSL (pi),wSL (pi),CU% (pi),vCU (pi),wCU (pi),CS% (pi),vCS (pi),wCS (pi),FS% (pi),vFS (pi),wFS (pi),KN% (pi),vKN (pi),wKN (pi),SB% (pi),vSB (pi),wSB (pi),XX% (pi),Stf+ CH,Stf+ CU,Stf+ FA,Stf+ SI,Stf+ SL,Stf+ KC,Stf+ FC,Stf+ FS,Stuff+,Location+,Pitching+,Stf+ FO,MLBAMID
18679,Freddy Peralta,MIL,12,10,0,30,30,165.2,11.4084514,2.93360179,1.412474936,0.2734375,0.7373868,0.41728395,0.160493827,3.857143094,3.35,3.846589692,3.423106672,3.044577837,0.51074322,94.4456681,13.14067005,,,,0.00105671,94.21929932,0.195447914,0.14617823,88.59304405,0.631097671,0.21873899,82.33340882,2.642681882,0.12328285,76.90681362,0.2996778,,,,,,,,,,,,,,50.37614458,85.37073864,117.0565038,,115.2024233,,,,102.9400493,101.6347305,104.8982388,,642547
18684,Sandy Alcantara,MIA,7,12,0,28,28,184.2,7.359206182,2.339350309,1.072202225,0.287313433,0.6962664,0.519927536,0.129411764,4.142599506,4.33,4.029408633,4.002710788,3.02012229,0.21131937,98.08245924,0.023798518,,,,0.29180448,97.68177346,11.98218954,0.27342889,91.17772387,-3.178511988,0.19919147,89.95591415,3.722288944,0.02425579,86.11700994,-0.098361734,,,,,,,,,,,,,,107.5489247,133.7133333,110.8001727,115.4283544,116.3764599,,,,112.995321,105.444251,107.6324991,,645261
18694,Kolby Allard,ATL,0,1,0,4,3,12.1,9.486487465,2.91891922,1.45945961,0.378378378,0.63953488,0.307692307,0.117647058,6.567568245,5.44,4.228013433,4.398849652,0.167609682,0.45226131,90.54247911,-0.860233486,0.22110553,82.93365479,-0.330509663,,,,0.09045226,82.63047409,-1.059669588,,,,0.2361809,72.65935435,0.802083097,,,,,,,,,,,,,,72.89444444,68.28085106,64.00555556,,,,101.4454545,,74.09692818,101.6016878,94.05409392,,663465
18815,Miguel Díaz,DET,1,0,0,12,3,14,10.28571569,3.214286152,0,0.242424242,0.92307692,0.393939393,0,0.64285723,2.75,2.04075448,3.694106459,0.39396658,0.20192308,95.20579892,1.786320284,,,,0.27884615,94.59230199,0.01971525,0.25,88.83390221,0.678501919,0.26923077,84.60106114,2.230584793,,,,,,,,,,,,,,,,,117.2634615,,96.30454545,101.4678571,101.890862,,,,105.0212099,99.69297688,101.5788771,,622766
18864,Pedro Avila,SDP,2,2,0,14,6,50.1,9.655630115,4.470199127,0.536423895,0.30075188,0.72674419,0.587786259,0.1,3.218543372,4.04,3.672258945,3.882865972,0.664362669,0.32513966,94.12753369,-3.052038848,,,,0.20782123,93.41909495,1.275374934,0.00335196,85.7493337,-0.004430361,0.00782123,81.21643938,0.317044433,0.20335196,77.44812414,-0.204250798,,,,0.25251397,83.86366583,4.762723934,,,,,,,,51.75938865,86.21813187,82.02457338,90.5027027,,,,,77.02324022,96.16547486,94.54916201,,658648
18887,Seby Zavala,ARI,0,0,0,1,0,0.2,0,0,0,0,1,0,0,0,0.11,3.255040359,8.215100795,0.015566205,1,60.26133219,0.528887328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.2,85.3,87.25,,664874
18889,Danny Mendick,NYM,0,0,0,2,0,2,0,0,9.000004292,0.538461538,0.16129032,0.066666666,0.222222222,36.00001717,7.63,16.25504656,10.6951268,-0.109573498,0.94736842,61.84487576,-5.361437492,,,,,,,,,,,,,0.05263158,37.45075226,-0.046002049,,,,,,,,,,,,,,,,,,,,,,-5.5,92.6,135,,664901
19159,Zack Burdi,TBR,0,0,0,3,0,4,11.25,4.5,0,0.461538462,0.25,0.461538461,0,11.25,5.62,2.255040359,4.321730052,0.065321438,0.32,94.3514506,-1.716801696,,,,,,,0.01333333,90.5687027,-0.026945714,0.66666667,86.80665039,-0.331044264,,,,,,,,,,,,,,,,,57.4,,113.3458333,,95.438,,,,100.6613333,101.26,105.96,,641420
19179,Kirby Snead,OAK,1,2,0,15,0,11.2,6.942859224,4.628572816,0.771428803,0.325,0.69892473,0.463414634,0.09090909,4.628572816,6.56,4.369326408,4.813915338,-0.018106464,,,,,,,0.52331606,92.74426632,-2.752282336,0.0880829,87.7260814,0.020367227,0.38860104,81.53898438,1.64758867,,,,,,,,,,,,,,,,,114.0058824,,71.42692308,72.52533333,79.776,,,,78.97604167,96.70052083,95.01145833,,669912
19200,José Quijada,LAA,0,1,4,10,0,9,8.000000848,3.000000318,0,0.285714286,0.46153846,0.392857142,0,6.000000636,5.59,3.143929237,5.164692706,0.219396919,0.8447205,94.50394933,3.139823951,,,,,,,0.11180124,87.62578668,-0.785206009,,,,0.04347826,84.60625349,-0.466889139,,,,,,,,,,,,,,77.23888889,,109.6720588,,104.5285714,,,,105.6253086,98.6117284,98.27654321,,650671
