playerid,Name_x,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,ERA,xERA,FIP,xFIP,WAR,FA% (pi),vFA (pi),wFA (pi),FC% (pi),vFC (pi),wFC (pi),SI% (pi),vSI (pi),wSI (pi),CH% (pi),vCH (pi),wCH (pi),SL% (pi),vSL (pi),wSL (pi),CU% (pi),vCU (pi),wCU (pi),CS% (pi),vCS (pi),wCS (pi),FS% (pi),vFS (pi),wFS (pi),KN% (pi),vKN (pi),wKN (pi),SB% (pi),vSB (pi),wSB (pi),XX% (pi),Stf+ CH,Stf+ CU,Stf+ FA,Stf+ SI,Stf+ SL,Stf+ KC,Stf+ FC,Stf+ FS,Stuff+,Location+,Pitching+,Stf+ FO,MLBAMID,Name_y,Pos,Bats,Thr,Prev Team,Age,Service Time,2023 WAR,Proj WAR,Med Years,Med Total,Med AAV,QO,Signing Team,Years,Total Salary,AAV
5114,Jeurys Familia,OAK,0,1,2,14,0,12.2,6.394738126,9.23684396,1.421052917,0.282051282,0.61983471,0.525,0.153846153,6.394738126,6.0,7.202409573,6.846638933,-0.423173755,0.2421875,94.83816627,-1.691678669,,,,0.33203125,94.40948989,-2.616187703,,,,0.296875,86.78088379,0.879034873,,,,,,,0.12890625,89.51429332,0.19072479,,,,,,,,,,71.17419355,82.14767442,98.22894737,,,102.88125,86.25039062,89.36132813,88.10976563,,544727,Jeurys Familia,RP,R,R,OAK,34,10.046,-0.423173755,,,0,,,,,,
5343,Brandon Crawford,SFG,0,0,0,1,0,1.0,0.0,9.0,0.0,0.25,1.0,0.25,0.0,0.0,3.25,6.255040359,11.21509562,-1.0562e-05,0.4,85.40498352,-0.335633762,,,,0.25,85.95351563,0.035695165,0.05,72.10230255,-0.058001734,0.05,81.17279816,0.295861423,0.25,74.1619812,0.131228842,,,,,,,,,,,,,,66.4,72.0,77.6,,105.3,,,,73.84666667,61.24666667,63.90666667,,543063,Brandon Crawford,SS,L,R,SFG,37,12.094,0.363807023,,1.0,8000000,8000000.0,,STL,1.0,2000000.0,2000000.0
5448,Jesse Chavez,ATL,1,0,1,36,1,34.2,10.12500158,3.115385101,0.51923085,0.272727273,0.81151832,0.516853932,0.086956521,1.557692551,3.58,3.053117251,3.400052603,0.734497756,,,,0.50774527,88.75058552,1.602394234,0.29776248,91.14899246,0.375391789,0.13769363,85.0289299,2.730002966,,,,0.05679862,75.98464503,1.097430944,,,,,,,,,,,,,,86.57081765,108.9575758,,86.91271676,,,113.5783051,,101.2281581,100.2253289,95.81053063,,445926,Jesse Chavez,RP,R,R,ATL,40,13.038,0.734497726,,,0,,,ATL,1.0,740000.0,740000.0
5524,Madison Bumgarner,ARI,0,3,0,4,4,16.2,5.400000206,8.100000309,2.160000082,0.35,0.59322034,0.375,0.153846153,10.26000039,8.96,8.055040543,7.514269258,-0.403762847,0.33142857,89.59771518,-0.793890819,0.34857143,86.31845543,-2.155934703,,,,0.12285714,84.42703034,-5.273314893,,,,0.19714286,77.25542063,-2.072930712,,,,,,,,,,,,,,77.80930233,80.04057971,68.03017241,,,,103.1483607,,83.96114286,91.30057143,83.27428571,,518516,Madison Bumgarner,SP,R,L,ARI,34,12.154,-0.403762847,,,0,,,,,,
5615,Ryan Brasier,- - -,3,0,2,59,0,59.2,8.446928004,2.865922001,0.452514,0.248407643,0.66889632,0.4375,0.053571428,3.016760002,3.55,3.137721915,4.035839829,1.131692808,0.36754967,96.00299714,-1.206400003,0.13465784,92.02198867,4.948922295,0.14348786,96.15207895,3.422199398,0.00110375,80.41359711,-0.101517998,0.35320088,85.17051392,6.650914058,,,,,,,,,,,,,,,,,,,110.9824242,109.5901515,104.41,,93.33658537,,106.145032,105.4822137,106.4073978,,518489,Ryan Brasier,RP,R,R,LAD,36,6.094,1.131692767,,,0,,,LAD,2.0,9000000.0,4500000.0
6399,José Cisnero,DET,3,4,2,63,0,59.1,10.61798049,3.792135888,1.516854355,0.337579618,0.6835443,0.43902439,0.15625,5.308990243,4.64,4.603355342,4.195734648,-0.027077403,0.36815416,95.97238722,-0.042257454,0.07200811,89.77984017,-0.381703217,0.21298174,95.6640439,-3.935093984,0.09837728,88.89177271,-1.811963849,0.20081136,85.4938447,1.606520846,0.04766734,85.27694897,1.075964447,,,,,,,,,,,,,,97.59381443,,106.0953168,101.4942857,119.3539267,,106.7793388,,106.0109589,96.81888454,97.79158513,,542585,José Cisnero,RP,R,R,DET,35,6.02,-0.027077403,,,0,,,LAA,1.0,1750000.0,1750000.0
6632,Carlos Carrasco,NYM,3,8,0,20,20,90.0,6.6,3.8,1.8,0.335640138,0.65769806,0.4495114,0.197802197,6.8,6.77,5.855040359,4.926762688,-0.276450783,0.32073094,92.89281987,-12.51065838,0.00378072,89.58709717,-0.569836956,0.1020794,91.85142988,-5.558161072,0.29930687,87.44117599,0.547316998,0.1821046,84.37689906,-5.969679818,0.09199748,80.27407962,-1.711918123,,,,,,,,,,,,,,108.1846316,88.34236111,74.71269531,91.03481013,104.494152,,86.3,,92.91019387,98.28517824,95.66497811,,471911,Carlos Carrasco,SP,R,R,NYM,37,12.147,-0.276450783,,,0,,,CLE,1.0,2000000.0,2000000.0
6655,Craig Kimbrel,PHI,8,6,23,71,0,69.0,12.26086957,3.652173913,1.304347826,0.23943662,0.77419355,0.335526315,0.144927536,3.260869565,3.28,3.805764997,3.57505878,1.121195674,0.67201426,95.95663752,9.284705967,,,,,,,,,,0.00802139,85.63853624,-0.809126724,0.31996435,86.31876197,3.839528911,,,,,,,,,,,,,,,,124.6830239,,,126.1733696,,,125.1951786,101.7508929,114.0858929,,518886,Craig Kimbrel,RP,R,R,PHI,36,12.161,1.121195674,,1.0,10000000,10000000.0,,BAL,1.0,13000000.0,13000000.0
6797,Julio Teheran,MIL,3,5,0,14,11,71.2,6.27906999,1.632558197,1.632558197,0.264423077,0.73353293,0.4,0.142857142,4.395348993,4.93,4.929459024,4.670691707,0.328054063,0.07321594,89.1695773,-7.097191971,0.30305839,86.57759192,4.084031142,0.39017609,89.90493477,0.018451028,0.11862836,83.27209473,-0.845835421,0.11492122,77.35488596,2.461102467,,,,,,,,,,,,,,,,,93.96220472,82.15241935,98.6960396,90.29832536,,,79.05354839,,85.44667855,103.5019956,97.84758771,,527054,Julio Teheran,SP,R,R,MIL,33,10.02,0.328054041,,,0,,,NYM,1.0,94086.0,94086.0
6893,Johnny Cueto,MIA,1,4,0,13,10,52.1,6.707006532,2.579617897,2.92356695,0.236111111,0.7300885,0.33125,0.22368421,6.019108427,5.13,7.019371661,5.19748754,-0.662395902,0.34035088,92.10072688,1.028135348,0.03391813,87.73832334,-1.806757946,0.20233918,92.1023175,3.029086024,0.19064327,84.03386066,-5.168999761,0.22923977,85.99684236,-1.951262325,0.00350877,75.82463582,-0.091829866,,,,,,,,,,,,,,72.59390244,119.6666667,86.50033784,88.82261905,87.9485,,69.26666667,,83.82785338,106.7582141,103.2949236,,456501,Johnny Cueto,SP,R,R,MIA,38,15.143,-0.662395895,,,0,,,,,,
6895,Chase Anderson,- - -,1,6,1,19,17,86.1,6.671815065,3.440154643,1.772200877,0.290836653,0.72504708,0.36226415,0.149122807,5.42084974,4.96,5.722221972,5.345566737,0.181033038,0.2398065,93.4005046,-6.996476963,0.26399447,89.23634091,2.364076529,0.14512785,93.06874913,-8.552119531,0.22944022,84.01287327,7.134234209,0.08016586,80.75743498,1.058265407,0.0414651,77.73670349,-2.44633596,,,,,,,,,,,,,,70.84197978,75.23389831,67.35254867,69.68190476,104.085521,,107.6989374,,82.18275315,98.93192064,93.72329624,,502624,Chase Anderson,SP,R,R,COL,36,8.141,0.181033045,,,0,,,BOS,1.0,853495.0,853495.0
6902,Martín Pérez,TEX,10,4,0,35,20,141.2,5.908235718,3.1129414,1.334117743,0.292517007,0.74308756,0.454945054,0.129629629,4.447059143,4.86,4.991511072,4.955108605,0.360995576,0.04363473,92.07163136,4.404084966,0.21682411,89.23209669,-10.39664129,0.42959964,91.67070313,3.475827973,0.26360774,84.16683387,-4.24995539,0.00944669,83.59292021,0.374848701,0.03688709,79.03247368,2.74598565,,,,,,,,,,,,,,71.37278912,77.97560976,75.04630682,72.71440589,88.20454545,,78.71158537,,74.10676528,103.5351365,94.88198969,,527048,Martín Pérez,SP,L,L,TEX,33,11.038,0.360995561,,1.0,8000000,8000000.0,,PIT,1.0,8000000.0,8000000.0
6984,Luis García,SDP,2,3,0,61,0,59.2,7.994414771,3.620112349,0.905028087,0.297752809,0.73200993,0.615384615,0.162162162,4.072626393,4.07,4.294146682,4.012146883,0.107536063,0.11485149,97.62750876,-0.91665693,0.01683168,95.01901425,-0.18034064,0.44158416,97.43202599,0.376290601,,,,0.34554455,81.46135723,-1.005497552,,,,,,,0.08118812,88.3661633,1.866721582,,,,,,,,,,90.46976744,110.5342282,128.8627507,,,57.22439024,109.7342885,97.45405138,101.5254941,,472610,Luis García,RP,R,R,SDP,37,8.007,0.107536063,,,0,,,LAA,1.0,4250000.0,4250000.0
7146,Daniel Hudson,LAD,0,0,1,3,0,3.0,15.0,9.0,0.0,0.333333333,1.0,0.5,0.0,0.0,2.25,2.921707026,4.57505878,0.049154274,0.453125,95.52943999,1.122108299,,,,0.03125,95.74150085,-0.126573533,0.015625,88.74900055,-0.026945714,0.5,88.14372253,-0.847425703,,,,,,,,,,,,,,,,,70.3,,119.0275862,65.0,99.48125,,,,106.8046875,94.3625,96.4375,,543339,Daniel Hudson,RP,R,R,LAD,37,13.106,0.049154274,,,0,,,LAD,1.0,2000000.0,2000000.0
7432,Jay Jackson,TOR,3,1,0,25,0,29.2,8.191012465,2.730337488,1.213483328,0.186666667,0.89285714,0.435897435,0.121212121,2.123595824,3.4,4.198860726,4.285173364,0.117765486,0.38169643,93.30055281,-1.481498446,,,,0.02008929,92.51545546,0.197382551,0.00223214,87.77429962,-0.019056335,0.59598214,84.72715502,9.012760598,,,,,,,,,,,,,,,,,,,89.47125749,89.23333333,107.5746269,,,,100.2081448,101.35181,97.8581448,,543351,Jay Jackson,RP,R,R,TOR,36,2.028,0.117765486,,,0,,,MIN,1.0,1500000.0,1500000.0
7803,Richard Bleier,BOS,1,0,0,27,0,30.2,4.695652855,1.467391517,1.467391517,0.310679612,0.65789474,0.552380952,0.178571428,5.282609462,4.7,5.113736281,4.503753012,-0.11710155,0.03478261,89.18276978,-3.202045452,0.38478261,86.24474753,2.430768374,0.41956522,88.19539346,3.384855509,0.00217391,79.85369873,-0.571418166,0.10217391,77.48335688,-0.853211746,,,,,,,0.04782609,78.72879861,-2.212665897,,,,,,,0.00869565,,,81.50588235,90.00876289,86.68297872,,109.9455056,-121.6125,85.2867679,106.0060738,100.4861171,,542947,Richard Bleier,RP,L,L,BOS,37,7.035,-0.11710155,,,0,,,WSN,1.0,0.0,
7982,Anthony Bass,TOR,0,0,0,22,0,20.0,8.550001631,4.050000772,1.350000257,0.280701754,0.67226891,0.383333333,0.130434782,4.950000944,5.23,4.655040627,4.606395134,-0.015376644,0.08641975,94.60577393,-2.170699678,,,,0.28703704,94.73712618,-2.627974179,,,,0.55864198,85.62378604,3.431990206,,,,,,,0.06790123,87.05265669,0.314134773,,,,,,,,,,81.57692308,101.0484211,112.418232,,,93.4,105.3182099,99.55925926,101.104321,,542914,Anthony Bass,RP,R,R,TOR,36,8.088,-0.015376644,,,0,,,,,,
8048,Will Smith,TEX,2,7,22,60,0,57.1,8.633722845,2.668605243,0.784883895,0.261744966,0.55555556,0.296052631,0.069444444,4.395349812,3.35,3.359691545,4.302273027,1.088053107,0.38979118,92.36332775,-1.084705796,,,,,,,0.02784223,86.60450236,-0.493480977,0.49187935,81.08755896,13.5636541,0.08584687,77.13894241,0.1306649,,,,,,,,,,,,,0.00464037,97.188,67.41142857,67.09553571,,103.1155093,,,,85.98553241,103.8444444,98.671875,,519293,Will Smith,RP,R,L,TEX,34,10.155,1.088053107,,1.0,4000000,4000000.0,,KCR,1.0,5000000.0,5000000.0
8110,Bryan Shaw,CHW,0,0,4,38,0,45.2,7.883213435,3.35036571,0.591241008,0.290322581,0.70934256,0.401574803,0.057692307,4.138687053,3.85,3.868179182,4.896813525,0.382261157,,,,0.5045045,94.02262038,3.532641251,0.12483912,94.14860865,2.14013778,0.02702703,83.49424526,0.346329674,0.2007722,83.69877429,0.038068596,0.13899614,81.93663194,1.41930671,,,,,,,,,,,,,0.003861,65.47619048,98.31851852,,86.1814433,108.777707,,113.234949,,105.2145995,98.34056848,97.95697674,,543766,Bryan Shaw,RP,S,R,CHW,36,11.069,0.382261157,,,0,,,CHW,1.0,137097.0,137097.0
8241,David Robertson,- - -,6,6,18,62,0,65.1,10.7448988,3.443877819,0.964285789,0.294871795,0.74438202,0.43125,0.104477611,3.030612481,3.25,3.545856709,3.848528684,1.207871974,,,,0.5321806,93.38890456,13.68179712,0.00096061,93.78759766,-0.036386766,0.01440922,87.88857015,0.6624083,0.18924111,85.07154188,-2.321361668,0.26320845,84.52818488,-0.695281915,,,,,,,,,,,,,,97.62,,,,112.4338028,159.5765799,113.9670175,,124.6735516,97.13562858,104.6441825,,502085,David Robertson,RP,R,R,MIA,39,14.119,1.207871914,,1.0,8000000,8000000.0,,TEX,1.0,11500000.0,10533289.0
8779,Wade Miley,MIL,9,4,0,23,23,120.1,5.908587507,2.842105383,1.196675951,0.234463277,0.81632653,0.462809917,0.116788321,3.141274371,4.33,4.69271355,4.846529543,1.067929745,0.19347942,90.47651394,1.630441565,0.44361304,87.10176958,9.986436661,0.04703367,90.53588312,-2.529757306,0.24478888,83.78648676,3.093359835,0.05077499,79.07782175,0.762078468,0.02030999,75.90475946,0.633976784,,,,,,,,,,,,,,83.54086957,78.56341463,78.37369863,87.98023256,113.4706522,,100.6295537,,91.86144114,104.3062706,100.4387239,,489119,Wade Miley,SP,L,L,MIL,37,12.025,1.067929745,,1.0,8000000,8000000.0,,MIL,1.0,8500000.0,8500000.0
9073,Kirby Yates,ATL,7,2,5,61,0,60.1,11.93370266,5.519337482,1.34254155,0.211382114,0.85403727,0.364341085,0.15,3.281768232,4.51,4.630731083,4.335721753,-0.154865324,0.53926206,93.73967242,3.474371213,,,,,,,,,,0.01135289,77.78966777,-0.69326349,0.0037843,76.50140381,-0.390620485,,,,0.44560076,86.17214869,5.294596333,,,,,,,,,,83.8022807,,94.4375,,,129.6394904,104.4393939,94.17945076,91.24195076,,489446,Kirby Yates,RP,L,R,ATL,37,9.021,-0.154865324,,1.0,3000000,3000000.0,,TEX,1.0,4500000.0,4500000.0
9111,Brad Hand,- - -,5,3,1,60,0,53.2,9.894411813,3.689441693,1.006211371,0.333333333,0.66115702,0.37062937,0.127659574,5.53416254,4.58,4.01901566,4.013565952,0.472304456,0.30610134,92.75086769,-0.35411606,,,,0.19544984,92.85006407,-1.885953203,,,,0.49844881,81.04843304,-1.501280222,,,,,,,,,,,,,,,,,,,64.36335404,81.04171779,106.2814842,,,,92.76672478,95.46751913,94.51975156,,543272,Brad Hand,RP,L,L,ATL,34,10.092,0.472304463,,,0,,,,,,
9434,Dallas Keuchel,MIN,2,1,0,10,6,37.2,5.973451731,4.300885246,0.716814208,0.338709677,0.65789474,0.527559055,0.1,5.973451731,5.59,4.555925403,4.837356023,0.159556124,,,,0.25379939,84.65081458,-4.398468792,0.34650456,87.27058919,0.894876957,0.27051672,80.20315517,-1.040152557,0.12917933,78.19779986,0.051756628,,,,,,,,,,,,,,,,,73.60393258,,,63.84868421,63.99882353,,92.39580838,,73.75227964,97.71443769,94.10121581,,572971,Dallas Keuchel,SP,L,L,MIN,36,10.008,0.159556121,,,0,,,MIL,1.0,177419.0,177419.0
9761,Joe Kelly,- - -,2,5,1,42,0,39.1,13.72881533,4.1186446,0.686440767,0.305882353,0.60267857,0.579545454,0.142857142,4.1186446,2.88,2.721141985,2.612338247,0.847238332,0.13342697,99.22968493,-2.873625457,,,,0.33707865,98.87980347,1.701313786,0.1011236,89.24116474,1.451875653,0.25421348,91.806673,3.137144104,0.1741573,89.54285062,2.643472064,,,,,,,,,,,,,,106.8592105,,107.2283186,94.71926606,133.2423913,126.5570248,,,112.4468395,99.68493691,105.7335142,,523260,Joe Kelly,RP,R,R,LAD,36,11.029,0.847238302,,1.0,7000000,7000000.0,,LAD,1.0,8000000.0,8000000.0
10123,Kyle Gibson,BAL,15,9,0,33,33,192.0,7.359375,2.578125,1.078125,0.309187279,0.69664903,0.488850771,0.127071823,4.734375,4.8,4.130040359,4.131377169,2.557749748,0.13462804,92.21206449,-2.135654449,0.16622778,89.92434251,-5.356948402,0.26102699,91.982779,-0.526471347,0.16951942,85.57184466,-2.076107323,0.18564845,81.71106217,11.70207443,0.08294931,79.47671751,-0.398176789,,,,,,,,,,,,,,87.60928433,89.73203125,77.72432432,93.45062972,109.9551783,,89.70198413,,92.69426773,99.61739563,96.56676607,,502043,Kyle Gibson,SP,R,R,BAL,36,10.039,2.557749748,,1.0,12000000,12000000.0,,STL,1.0,13000000.0,13000000.0
10133,Brad Boxberger,CHC,0,1,2,22,0,20.0,7.65000073,4.950000472,1.350000129,0.230769231,0.70175439,0.436363636,0.15,4.950000472,4.77,5.305040555,5.008392281,-0.174535125,0.54142012,91.43454363,0.070164297,,,,,,,0.13017751,81.28614391,-1.209349975,0.32840237,86.91336747,2.071465243,,,,,,,,,,,,,,,,,75.38409091,,79.52445652,,102.6854545,,,,86.56597633,98.30710059,96.17189349,,502202,Brad Boxberger,RP,R,R,CHC,36,10.033,-0.174535125,,,0,,,,,,
10197,Shelby Miller,LAD,3,0,1,36,1,42.0,9.000000817,4.071428941,0.642857201,0.164948454,0.89385475,0.373737373,0.068181818,1.71428587,3.25,3.683611827,4.487123261,0.518453941,0.57466063,93.60876433,12.13848042,,,,0.0015083,93.50299835,0.07157445,,,,0.16138763,82.24431161,-0.155995149,,,,,,,0.26244344,85.74519524,0.879224531,,,,,,,,,,106.4335079,,109.4214953,,,121.2126437,110.6114011,98.69785474,101.1053043,,571946,Shelby Miller,RP,R,R,LAD,33,8.016,0.518453956,,,0,,,DET,1.0,3250000.0,3250000.0
10233,Aroldis Chapman,- - -,6,5,6,61,0,58.1,15.89142944,5.554286017,0.617142891,0.314285714,0.73099415,0.47706422,0.117647058,3.085714454,2.82,2.517897462,2.590136774,1.750276834,0.47420635,99.06730109,1.897119317,,,,0.1656746,101.089566,6.055391442,0.00198413,94.72475052,0.186091427,0.28869048,88.1326984,3.22042311,,,,,,,0.06944444,90.43270089,0.458366901,,,,,,,,,,125.1634855,177.4435583,115.3680412,,,177.6722588,134.2384904,94.22128093,106.4817945,,547973,Aroldis Chapman,RP,L,L,TEX,36,13.009,1.750276804,,1.0,7500000,7500000.0,,PIT,1.0,10500000.0,10500000.0
10291,Ryan Tepera,- - -,2,2,0,12,0,10.2,9.281253043,3.375001106,2.53125083,0.416666667,0.67307692,0.459459459,0.2,7.593752489,5.16,6.817541527,5.486316995,-0.321665123,0.3173913,91.73753043,-1.754451003,0.36521739,84.6496582,-2.073714726,0.1173913,93.29803015,-1.430186506,,,,0.14347826,80.51840765,-0.20487804,,,,,,,0.05652174,86.68208196,-0.280116189,,,,,,,,50.83076923,,81.69589041,103.7962963,107.304948,,,,93.28869328,93.97626134,92.16671506,,572193,Ryan Tepera,RP,R,R,STL,36,7.069,-0.321665108,,,0,,,,,,
10314,Erasmo Ramírez,- - -,3,3,0,38,2,60.1,6.414365283,1.939226713,1.640884142,0.349753695,0.62200957,0.433962264,0.146666666,6.414365283,5.34,5.045095787,4.730201527,-0.277665559,0.04979253,92.00680288,-0.720977377,0.43360996,88.77630469,-4.944879148,0.29771784,91.55679374,-8.58133975,0.07365145,84.10179976,-0.241585381,0.06742739,81.16818378,-0.104135346,0.07780083,79.84429525,1.359969668,,,,,,,,,,,,,,86.35135234,78.25135135,78.84882842,96.96914894,91.19270315,,101.4509615,,94.49651022,104.1558181,99.41886316,,541640,Erasmo Ramírez,RP,R,R,TBR,34,8.132,-0.277665555,,,0,,,TBR,1.0,0.0,
10315,Michael Tonkin,ATL,7,3,1,45,0,80.0,8.437500805,2.587500247,1.462500139,0.240566038,0.6779661,0.382882882,0.135416666,4.275000408,3.9,4.430040472,4.301562564,0.056667816,,,,,,,0.61214953,93.64906369,8.847623032,,,,0.38707165,83.12939355,1.415981375,,,,,,,,,,,,,,,,0.00077882,,,,108.4470064,110.3458054,,,,108.6758165,103.449689,102.5761275,,543859,Michael Tonkin,RP,R,R,ATL,34,3.074,0.056667816,,,0,,,NYM,1.0,1000000.0,1000000.0
