playerid,Name_x,Team,G,PA,H,1B,2B,3B,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,xBA,wOBA,xwOBA,SLG,xSLG,OBP,wRC+,Off,Def,Spd,BsR,WAR,BB/K,Barrel%,HardHit%,O-Swing% (sc),Z-Swing% (sc),Swing% (sc),O-Contact% (sc),Z-Contact% (sc),Contact% (sc),Pull%,Cent%,Oppo%,EV,LA,maxEV,LD%,GB%,FB%,Clutch,MLBAMID,Name_y,Pos,Bats,Thr,Prev Team,Age,Service Time,2023 WAR,Proj WAR,Med Years,Med Total,Med AAV,QO,Signing Team,Years,Total Salary,AAV
12510,Curt Casali,CIN,40,96,14,12,2,0,0,8,6,0,0.114583333,0.239583333,0.025,0.245614035,0.175,0.207,0.238547333,0.281,0.2,0.287,0.29032258,38.94632728,-7.609849472,1.676983595,1.51785714,-0.348765065,-0.26635568,0.478260869,0.01666667,0.26666667,0.20467836,0.675,0.45822102,0.42857143,0.85925926,0.77058824,0.43333333,0.3,0.26666667,85.08155154,20.96403851,102.116,0.175438596,0.403508771,0.421052631,0.414673823,592200,Curt Casali,C,R,R,CIN,35,7.151,-0.266355693,,,0,,,SFG,1.0,,
10681,Gio Urshela,LAA,62,228,64,53,8,1,2,22,24,3,0.043859649,0.157894736,0.074766355,0.346368715,0.29906542,0.259,0.306958834,0.289,0.373831775,0.361,0.328947368,91.75703771,-2.615329618,-0.224060968,3.569596991,-0.363421127,0.497853391,0.277777777,0.03867403,0.33149171,0.38095238,0.71590909,0.54824064,0.68452381,0.9047619,0.82815735,0.29281768,0.37569061,0.33149171,87.48824348,8.626440565,106.053,0.215469613,0.480662983,0.303867403,0.391387441,570482,Gio Urshela,3B/1B/SS,R,R,LAA,32,6.127,0.497853428,,,0,,,DET,1.0,1500000.0,1500000.0
10681,Gio Urshela,LAA,62,228,64,53,8,1,2,22,24,3,0.043859649,0.157894736,0.074766355,0.346368715,0.29906542,0.259,0.306958834,0.289,0.373831775,0.361,0.328947368,91.75703771,-2.615329618,-0.224060968,3.569596991,-0.363421127,0.497853391,0.277777777,0.03867403,0.33149171,0.38095238,0.71590909,0.54824064,0.68452381,0.9047619,0.82815735,0.29281768,0.37569061,0.33149171,87.48824348,8.626440565,106.053,0.215469613,0.480662983,0.303867403,0.391387441,570482,Gio Urshela,3B/1B/SS,R,R,LAA,32,6.127,0.497853428,,,0,,,ATL,1.0,163118.0,163118.0
15653,Dominic Smith,WSN,153,586,134,100,21,1,12,57,46,1,0.080204778,0.155290102,0.111954459,0.286384976,0.254269449,0.256,0.30643118,0.32,0.366223908,0.397,0.325938566,91.3298705,-12.18646372,-8.04082489,2.179470241,-5.892247492,-0.031604669,0.516483516,0.06621005,0.30821918,0.31801802,0.66363636,0.49004525,0.69688385,0.8739726,0.81625115,0.38356164,0.35159817,0.26484018,86.32899008,12.84622039,108.284,0.200913242,0.424657534,0.374429223,0.373549193,642086,Dominic Smith,1B,L,L,WSN,29,5.081,-0.031604685,,,0,,,CHC,1.0,0.0,
5254,Robbie Grossman,TEX,115,420,84,50,23,1,10,56,49,1,0.135714285,0.233333333,0.155807366,0.292490118,0.237960339,0.224,0.322527737,0.306,0.393767705,0.35,0.34047619,104.3279671,1.283517275,-11.8590169,3.292038156,-0.894522566,0.384103989,0.581632653,0.06844106,0.37262357,0.17381228,0.58968347,0.38053613,0.61333333,0.87475149,0.81470138,0.39543726,0.37642586,0.22813688,88.20426865,20.24112739,109.033,0.212927756,0.319391634,0.467680608,0.370936617,543257,Robbie Grossman,LF/RF,S,L,TEX,34,9.06,0.384103984,,,0,,,CHW,1.0,1435484.0,1435484.0
8623,Donovan Solano,MIN,134,450,111,79,26,1,5,43,38,0,0.088888888,0.222222222,0.109137056,0.365517241,0.281725888,0.284,0.337812522,0.351,0.390862944,0.429,0.368888888,115.5772071,5.487297105,-9.078267336,1.644569465,-2.911840297,1.183345696,0.4,0.06101695,0.43389831,0.31306306,0.62962963,0.47397564,0.58273381,0.86678201,0.77453271,0.35254237,0.42372881,0.22372881,90.23994968,13.1071587,109.811,0.26779661,0.406779661,0.325423728,0.36920451,456781,Donovan Solano,2B/1B/3B,R,R,MIN,36,8.081,1.183345675,,,0,,,SDP,1.0,790323.0,790323.0
13744,David Dahl,SDP,4,9,1,0,0,0,1,1,1,0,0.0,0.222222222,0.333333333,0.0,0.111111111,0.245,0.222677337,0.367,0.444444444,0.652,0.111111111,38.51358489,-0.685551586,-1.726908252,0.14285714,0.0,-0.210071823,0.0,0.14285714,0.71428571,0.41176471,0.64285714,0.51612903,0.57142857,0.88888889,0.75,0.28571429,0.28571429,0.42857143,94.40115792,13.97189331,103.826,0.0,0.428571428,0.571428571,0.358315758,621311,David Dahl,RF/LF,L,R,SDP,30,4.166,-0.210071817,,,0,,,PHI,1.0,0.0,
5452,Ji Man Choi,- - -,39,117,17,6,5,0,6,12,13,0,0.085470085,0.299145299,0.221153846,0.169230769,0.163461538,0.237,0.266868715,0.349,0.384615384,0.493,0.239316239,64.04812193,-5.309189481,-3.561144292,1.303571421,-0.098131543,-0.488123135,0.285714285,0.1971831,0.5915493,0.25925926,0.68825911,0.46421663,0.44285714,0.83529412,0.72083333,0.54929577,0.22535211,0.22535211,93.38586598,11.87631655,110.012,0.197183098,0.408450704,0.394366197,0.351974498,596847,Ji Man Choi,1B/DH,L,R,SDP,33,6.076,-0.488123864,,,0,,,NYM,1.0,0.0,
4314,Joey Votto,CIN,65,242,42,22,6,0,14,26,38,0,0.111570247,0.256198347,0.230769231,0.212121212,0.201923076,0.189,0.325649298,0.298,0.432692307,0.367,0.314049586,97.33810585,-1.278763942,-6.704815149,0.881493502,-0.48072404,0.02381079,0.43548387,0.10958904,0.39726027,0.25601751,0.68814969,0.47761194,0.54700855,0.77039275,0.71205357,0.48630137,0.32876712,0.18493151,89.2957446,13.89971004,111.245,0.109589041,0.479452054,0.410958904,0.337933649,458015,Joey Votto,1B,L,R,CIN,40,16.027,0.023810796,,,0,,,TOR,1.0,0.0,
15161,Mitch Garver,TEX,87,344,80,50,11,0,19,45,50,0,0.127906976,0.238372093,0.22972973,0.312820512,0.27027027,0.255,0.374233522,0.365,0.5,0.493,0.37026239,140.1663795,14.63160265,-4.825470991,1.065476184,-1.924332157,2.156179234,0.536585365,0.1255814,0.41395349,0.17604618,0.60244233,0.3958042,0.56557377,0.85810811,0.795053,0.49065421,0.3364486,0.1728972,89.99551876,20.53253459,113.161,0.214953271,0.303738317,0.481308411,0.330716652,641598,Mitch Garver,C,R,R,TEX,33,6.045,2.15617919,,2.0,20000000,10000000.0,,SEA,2.0,24000000.0,12000000.0
