playerid,Name,Projected WAR,Projected Years,Projected Total,Projected AAV,QO,Signing Team,Years,Total Salary,AAV
8241,David Robertson,,1,"$5,000,000 ","$5,000,000 ",,NYM,1,"$10,000,000 ","$10,000,000 "
8700,Justin Verlander,,2,"$70,000,000 ","$35,000,000 ",,NYM,3,"$121,666,666 ","$43,333,333 "
8779,Wade Miley,,1,"$7,000,000 ","$7,000,000 ",,MIL,1,"$4,500,000 ","$4,500,000 "
9111,Brad Hand,,,$0 ,,,COL,1,"$3,000,000 ","$3,000,000 "
9132,Nathan Eovaldi,,2,"$30,000,000 ","$15,000,000 ","$19,650,000 ",TEX,3,"$54,000,000 ","$17,000,000 "
9434,Dallas Keuchel,,,$0 ,,,,,,
9817,Sergio Romo,,,$0 ,,,,,,
10021,Mike Minor,,,$0 ,,,,,,
10123,Kyle Gibson,,,$0 ,,,BAL,1,"$10,000,000 ","$10,000,000 "
10133,Brad Boxberger,,,$0 ,,,CHC,1,"$2,800,000 ","$2,800,000 "
10197,Shelby Miller,,,$0 ,,,LAD,1,"$1,500,000 ","$1,500,000 "
10233,Aroldis Chapman,,,$0 ,,,KCR,1,"$3,750,000 ","$3,750,000 "
10314,Erasmo Ramírez,,,$0 ,,,WSN,1,"$1,000,000 ","$1,000,000 "
10430,Mychal Givens,,,$0 ,,,BAL,1,"$5,000,000 ","$5,000,000 "
10688,Tyler Thornburg,,,$0 ,,,,,,
10855,Chasen Shreve,,,$0 ,,,DET,1,"$1,250,000 ","$1,250,000 "
10954,Jacob deGrom,,3,"$120,000,000 ","$40,000,000 ","$19,650,000 ",TEX,5,"$185,000,000 ","$37,000,000 "
11189,Vince Velasquez,,,$0 ,,,PIT,1,"$3,150,000 ","$3,150,000 "
11384,Tommy Kahnle,,,$0 ,,,NYY,2,"$11,500,000 ","$5,750,000 "
11423,Jose Quintana,,2,"$24,000,000 ","$12,000,000 ",,NYM,2,"$26,000,000 ","$13,000,000 "
11487,Joely Rodríguez,,,$0 ,,,BOS,1,"$2,000,000 ","$2,000,000 "
11490,Aaron Sanchez,,,$0 ,,,MIN,1,$0 ,
11589,José Ureña,,,$0 ,,,COL,1,"$3,500,000 ","$3,500,000 "
11632,Heath Hembree,,,$0 ,,,TBR,1,$0 ,
11674,Jameson Taillon,,3,"$36,000,000 ","$12,000,000 ",,CHC,4,"$68,000,000 ","$17,000,000 "
11760,Drew Smyly,,1,"$7,000,000 ","$7,000,000 ",,CHC,2,"$23,000,000 ","$11,500,000 "
11762,Noah Syndergaard,,2,"$28,000,000 ","$14,000,000 ",,LAD,1,"$13,000,000 ","$13,000,000 "
11801,Hansel Robles,,,$0 ,,,,,,
11836,Taijuan Walker,,3,"$39,000,000 ","$13,000,000 ",,PHI,4,"$72,000,000 ","$18,000,000 "
11847,Chris Martin,,,$0 ,,,BOS,2,"$17,500,000 ","$8,750,000 "
12272,Aaron Brooks,,,$0 ,,,SDP,1,$0 ,
12304,Chris Bassitt,,3,"$48,000,000 ","$16,000,000 ","$19,650,000 ",TOR,3,"$63,000,000 ","$21,000,000 "
12323,Jacob Barnes,,,$0 ,,,TEX,1,$0 ,
12447,Seth Lugo,,1,"$5,000,000 ","$5,000,000 ",,SDP,2,"$15,000,000 ","$7,500,000 "
12730,Nick Martinez,,2,"$16,000,000 ","$8,000,000 ",,SDP,3,"$26,000,000 ","$8,666,667 "
12760,Rafael Montero,,,$0 ,,,HOU,3,"$34,500,000 ","$11,500,000 "
12763,Chris Devenski,,,$0 ,,,LAA,1,$0 ,
12763,Chris Devenski,,,$0 ,,,LAA,1,"$900,000 ","$900,000 "
12800,Noé Ramirez,,,$0 ,,,,,,
12804,Matt Wisler,,,$0 ,,,DET,1,$0 ,
12808,Mike Clevinger,,1,"$8,000,000 ","$8,000,000 ",,CHW,1,"$12,000,000 ","$12,000,000 "
12880,Tyler Anderson,,3,"$43,500,000 ","$14,500,000 ","$19,650,000 ",LAA,3,"$39,000,000 ","$13,000,000 "
12910,Ken Giles,,,$0 ,,,,,,
12917,Dylan Bundy,,1,"$5,000,000 ","$5,000,000 ",,NYM,1,$0 ,
12918,Archie Bradley,,,$0 ,,,,,,
12988,Andrew Chafin,,,$0 ,,,ARI,1,"$6,250,000 ","$6,250,000 "
13182,Kyle Crick,,,$0 ,,,TBR,1,$0 ,
13183,Zach Davies,,,$0 ,,,ARI,1,"$5,000,000 ","$5,000,000 "
13218,Michael Fulmer,,,$0 ,,,CHC,1,"$4,000,000 ","$4,000,000 "
13273,Ross Stripling,,2,"$22,000,000 ","$11,000,000 ",,SFG,2,"$25,000,000 ","$12,500,000 "
13293,Danny Coulombe,,,$0 ,,,MIN,1,"$1,000,000 ","$1,000,000 "
13435,Pierce Johnson,,,$0 ,,,COL,1,"$5,000,000 ","$5,000,000 "
13449,Taylor Rogers,,2,"$15,000,000 ","$7,500,000 ",,SFG,3,"$33,000,000 ","$11,000,000 "
13475,Daniel Norris,,,$0 ,,,CIN,1,$0 ,
13758,Tyler Duffey,,,$0 ,,,CHC,1,$0 ,
13763,Dominic Leone,,,$0 ,,,TEX,1,$0 ,
13774,Zach Eflin,,3,"$30,000,000 ","$10,000,000 ",,TBR,3,"$41,000,000 ","$13,333,333 "
13799,Matt Strahm,,,$0 ,,,PHI,2,"$15,000,000 ","$7,500,000 "
13801,Austin Adams,,,$0 ,,,ARI,1,$0 ,
13834,Alec Mills,,,$0 ,,,,,,
14078,Michael Wacha,,2,"$20,000,000 ","$10,000,000 ",,SDP,4,"$26,000,000 ","$6,500,000 "
14361,Ty Blach,,,$0 ,,,COL,1,"$1,100,000 ","$1,100,000 "
14542,Carlos Estévez,,,$0 ,,,LAA,2,"$13,500,000 ","$6,750,000 "
14710,Edwin Díaz,,5,"$100,000,000 ","$20,000,000 ",,NYM,5,"$102,000,000 ","$18,600,000 "
14843,Michael Lorenzen,,,$0 ,,,DET,1,"$8,500,000 ","$8,500,000 "
14875,Caleb Smith,,,$0 ,,,PIT,1,$0 ,
14966,Reyes Moronta,,,$0 ,,,TEX,1,$0 ,
14975,Chad Kuhl,,,$0 ,,,WSN,1,"$946,237 ","$946,237 "
15010,Corey Knebel,,,$0 ,,,,,,
15046,Trevor Gott,,,$0 ,,,SEA,1,"$1,200,000 ","$1,200,000 "
15291,Steven Brault,,,$0 ,,,,,,
15423,Andrew Heaney,,2,"$20,000,000 ","$10,000,000 ",,TEX,2,"$25,000,000 ","$12,500,000 "
15440,Matthew Boyd,,,$0 ,,,DET,1,"$10,000,000 ","$10,000,000 "
15552,Chad Green,,1,"$5,000,000 ","$5,000,000 ",,TOR,3,"$23,250,000 ","$2,250,000 "
15594,Nick Wittgren,,,$0 ,,,KCR,1,$0 ,
15684,Miguel Castro,,,$0 ,,,ARI,2,"$8,500,000 ","$3,500,000 "
15823,Zack Littell,,,$0 ,,,TEX,1,$0 ,
15873,Sean Manaea,,2,"$22,000,000 ","$11,000,000 ",,SFG,1,"$12,500,000 ","$12,500,000 "
16137,Carlos Rodón,,5,"$135,000,000 ","$27,000,000 ","$19,650,000 ",NYY,6,"$162,000,000 ","$27,000,000 "
16350,Ryan Borucki,,,$0 ,,,CHC,1,$0 ,
16502,Ryan Yarbrough,,,$0 ,,,KCR,1,"$3,000,000 ","$3,000,000 "
16918,Luke Weaver,,,$0 ,,,CIN,1,"$2,000,000 ","$2,000,000 "
16929,Touki Toussaint,,,$0 ,,,CLE,1,$0 ,
16977,Trevor Williams,,,$0 ,,,WSN,2,"$13,000,000 ","$6,500,000 "
17432,Jeff Hoffman,,,$0 ,,,MIN,1,$0 ,
18088,Cody Stashak,,,$0 ,,,,,,
18282,Jarlín García,,,$0 ,,,PIT,1,"$2,500,000 ","$2,500,000 "
18333,Alex Young,,,$0 ,,,CIN,1,$0 ,
18333,Alex Young,,,$0 ,,,CIN,1,"$1,150,000 ","$1,150,000 "
30115,Robert Suarez,,,$0 ,,,SDP,5,"$46,000,000 ","$9,200,000 "
