playerid,Name,Projected WAR,Projected Years,Projected Total,Projected AAV,QO,Signing Team,Years,Total Salary,AAV
6984,Luis García,,,$0 ,,,LAA,1,"$4,250,000 ","$4,250,000 "
7146,Daniel Hudson,,,$0 ,,,LAD,1,"$2,000,000 ","$2,000,000 "
7432,Jay Jackson,,,$0 ,,,MIN,1,"$1,500,000 ","$1,500,000 "
7803,Richard Bleier,,,$0 ,,,WSN,1,$0 ,
7982,Anthony Bass,,,$0 ,,,,,,
8048,Will Smith,,1,"$4,000,000 ","$4,000,000 ",,KCR,1,"$5,000,000 ","$5,000,000 "
8110,Bryan Shaw,,,$0 ,,,CHW,1,"$137,097 ","$137,097 "
8241,David Robertson,,1,"$8,000,000 ","$8,000,000 ",,TEX,1,"$11,500,000 ","$10,533,289 "
8779,Wade Miley,,1,"$8,000,000 ","$8,000,000 ",,MIL,1,"$8,500,000 ","$8,500,000 "
9073,Kirby Yates,,1,"$3,000,000 ","$3,000,000 ",,TEX,1,"$4,500,000 ","$4,500,000 "
9111,Brad Hand,,,$0 ,,,,,,
9434,Dallas Keuchel,,,$0 ,,,MIL,1,"$177,419 ","$177,419 "
9761,Joe Kelly,,1,"$7,000,000 ","$7,000,000 ",,LAD,1,"$8,000,000 ","$8,000,000 "
10123,Kyle Gibson,,1,"$12,000,000 ","$12,000,000 ",,STL,1,"$13,000,000 ","$13,000,000 "
10133,Brad Boxberger,,,$0 ,,,,,,
10197,Shelby Miller,,,$0 ,,,DET,1,"$3,250,000 ","$3,250,000 "
10233,Aroldis Chapman,,1,"$7,500,000 ","$7,500,000 ",,PIT,1,"$10,500,000 ","$10,500,000 "
10291,Ryan Tepera,,,$0 ,,,,,,
10314,Erasmo Ramírez,,,$0 ,,,TBR,1,$0 ,
10315,Michael Tonkin,,,$0 ,,,NYM,1,"$1,000,000 ","$1,000,000 "
10343,Aaron Loup,,,$0 ,,,,,,
10430,Mychal Givens,,,$0 ,,,MIA,1,$0 ,
10591,Scott Alexander,,,$0 ,,,OAK,1,"$2,250,000 ","$2,250,000 "
10756,Shane Greene,,,$0 ,,,TEX,1,$0 ,
10843,Adam Kolarek,,,$0 ,,,LAA,1,"$900,000 ","$900,000 "
10855,Chasen Shreve,,,$0 ,,,TEX,1,$0 ,
11189,Vince Velasquez,,,$0 ,,,,,,
11487,Joely Rodríguez,,,$0 ,,,BOS,1,"$282,258 ","$282,258 "
11589,José Ureña,,,$0 ,,,TEX,1,"$1,750,000 ","$1,750,000 "
11762,Noah Syndergaard,,,$0 ,,,,,,
11804,Héctor Neris,,2,"$16,000,000 ","$8,000,000 ",,CHC,1,"$9,000,000 ","$9,000,000 "
11828,James Paxton,,1,"$8,000,000 ","$8,000,000 ",,LAD,1,"$13,000,000 ","$13,000,000 "
12317,Colin Rea,,,$0 ,,,MIL,1,"$4,500,000 ","$4,500,000 "
12323,Jacob Barnes,,,$0 ,,,WSN,1,"$800,000 ","$800,000 "
12447,Seth Lugo,,2,"$26,000,000 ","$13,000,000 ",,KCR,3,"$45,000,000 ","$15,000,000 "
12499,Drew Rucinski,,,$0 ,,,,,,
12730,Nick Martinez,,2,"$18,000,000 ","$9,000,000 ",,CIN,2,"$26,000,000 ","$13,000,000 "
12763,Chris Devenski,,,$0 ,,,TBR,1,"$1,100,000 ","$1,100,000 "
12768,Sonny Gray,,3,"$63,000,000 ","$21,000,000 ","$20,325,000.00 ",STL,3,"$75,000,000 ","$24,949,117 "
12777,John Brebbia,,,$0 ,,,CHW,1,"$5,500,000 ","$5,500,000 "
12808,Mike Clevinger,,2,"$24,000,000 ","$12,000,000 ",,CHW,1,"$3,000,000 ","$3,000,000 "
12863,Matt Barnes,,,$0 ,,,WSN,1,"$451,613 ","$451,613 "
12988,Andrew Chafin,,,$0 ,,,DET,1,"$4,750,000 ","$4,750,000 "
13133,Derek Law,,,$0 ,,,WSN,1,"$1,500,000 ","$1,500,000 "
13164,Eduardo Rodriguez,,4,"$76,000,000 ","$19,000,000 ",,ARI,4,"$80,000,000 ","$20,000,000 "
13183,Zach Davies,,,$0 ,,,WSN,1,$0 ,
13218,Michael Fulmer,,,$0 ,,,BOS,1,$0 ,
13394,Dylan Floro,,,$0 ,,,WSN,1,"$2,250,000 ","$2,250,000 "
13431,Marcus Stroman,,3,"$66,000,000 ","$22,000,000 ",,NYY,2,"$37,000,000 ","$18,500,000 "
13435,Pierce Johnson,,,$0 ,,,ATL,2,"$14,250,000 ","$7,125,000 "
13528,Matt Bowman,,,$0 ,,,BAL,1,"$800,000 ","$800,000 "
13543,Blake Snell,,5,"$125,000,000 ","$25,000,000 ","$20,325,000.00 ",SFG,2,"$62,000,000 ","$29,698,347 "
13594,Robert Stephenson,,2,"$10,000,000 ","$5,000,000 ",,LAA,3,"$33,000,000 ","$11,000,000 "
13607,Carl Edwards Jr.,,,$0 ,,,CHC,1,$0 ,
13619,Jakob Junis,,,$0 ,,,MIL,1,"$7,000,000 ","$7,000,000 "
13758,Tyler Duffey,,,$0 ,,,KCR,1,"$1,081,989 ","$1,081,989 "
13761,Chris Stratton,,,$0 ,,,KCR,2,"$8,000,000 ","$4,000,000 "
13763,Dominic Leone,,,$0 ,,,CHW,1,"$1,500,000 ","$1,500,000 "
13781,Alex Wood,,1,"$7,000,000 ","$7,000,000 ",,OAK,1,"$8,500,000 ","$8,500,000 "
13801,Austin Adams,,,$0 ,,,NYM,1,"$800,000 ","$800,000 "
13896,Chris Flexen,,,$0 ,,,CHW,1,"$1,750,000 ","$1,750,000 "
13942,Brent Suter,,1,"$4,650,000 ","$4,650,000 ",,CIN,1,"$3,000,000 ","$3,000,000 "
14078,Michael Wacha,,3,"$39,000,000 ","$13,000,000 ",,KCR,2,"$32,000,000 ","$16,000,000 "
14212,Josh Hader,,4,"$72,000,000 ","$18,000,000 ","$20,325,000.00 ",HOU,5,"$95,000,000 ","$19,000,000 "
14295,Wandy Peralta,,,$0 ,,,SDP,4,"$16,500,000 ","$4,125,000 "
14309,Frankie Montas,,1,"$8,000,000 ","$8,000,000 ",,CIN,1,"$16,000,000 ","$16,000,000 "
14361,Ty Blach,,,$0 ,,,COL,1,$0 ,
14375,Amir Garrett,,,$0 ,,,SFG,1,$0 ,
14527,Jorge López,,,$0 ,,,NYM,1,"$2,000,000 ","$2,000,000 "
14765,Julio Urías,,,$0 ,,,,,,
14771,Emilio Pagán,,1,"$5,000,000 ","$5,000,000 ",,CIN,2,"$16,000,000 ","$8,000,000 "
14814,Buck Farmer,,,$0 ,,,CIN,1,"$2,250,000 ","$2,250,000 "
14843,Michael Lorenzen,,2,"$20,000,000 ","$10,000,000 ",,TEX,1,"$4,500,000 ","$4,500,000 "
14975,Chad Kuhl,,,$0 ,,,CHW,1,$0 ,
15046,Trevor Gott,,,$0 ,,,OAK,1,"$1,500,000 ","$1,500,000 "
15264,Keynan Middleton,,,$0 ,,,STL,1,"$6,000,000 ","$6,000,000 "
15288,Adam Cimber,,,$0 ,,,LAA,1,"$1,650,000 ","$1,650,000 "
15290,Austin Pruitt,,,$0 ,,,TEX,1,$0 ,
15440,Matthew Boyd,,,$0 ,,,CLE,1,"$1,750,000 ","$1,750,000 "
15474,Lucas Giolito,,2,"$30,000,000 ","$15,000,000 ",,BOS,2,"$38,500,000 ","$19,250,000 "
15594,Nick Wittgren,,,$0 ,,,,,,
15734,Brad Keller,,,$0 ,,,CHW,1,$0 ,
15761,Joe Jiménez,,,$0 ,,,ATL,3,"$26,000,000 ","$8,666,667 "
15873,Sean Manaea,,2,"$24,000,000 ","$12,000,000 ",,NYM,2,"$28,000,000 ","$14,000,000 "
15890,Luis Severino,,1,"$10,000,000 ","$10,000,000 ",,NYM,1,"$13,000,000 ","$13,000,000 "
15947,Ryne Stanek,,,$0 ,,,SEA,1,"$4,000,000 ","$4,000,000 "
16128,John Curtiss,,,$0 ,,,COL,1,$0 ,
16149,Aaron Nola,,6,"$150,000,000 ","$25,000,000 ","$20,325,000.00 ",PHI,7,"$172,000,003 ","$24,571,429 "
16162,Brandon Woodruff,,,$0 ,,,MIL,2,"$17,500,000 ","$8,750,000 "
16207,Spencer Turnbull,,,$0 ,,,PHI,1,"$2,000,000 ","$2,000,000 "
16358,Tyler Mahle,,,$0 ,,,TEX,2,"$22,000,000 ","$11,000,000 "
16400,Reynaldo López,,2,"$12,000,000 ","$6,000,000 ",,ATL,3,"$30,000,000 ","$10,000,000 "
16401,Yonny Chirinos,,,$0 ,,,MIA,1,$0 ,
16511,Jordan Montgomery,,5,"$105,000,000 ","$21,000,000 ",,ARI,2,"$47,500,000 ","$23,750,000 "
16814,Tim Hill,,,$0 ,,,CHW,1,"$1,800,000 ","$1,800,000 "
16918,Luke Weaver,,,$0 ,,,NYY,2,"$4,500,000 ","$2,000,000 "
17149,Domingo Germán,,,$0 ,,,PIT,1,$0 ,
17264,Sam Coonrod,,,$0 ,,,,,,
17479,Jack Flaherty,,2,"$20,000,000 ","$10,000,000 ",,DET,1,"$14,000,000 ","$14,000,000 "
17496,Diego Castillo,,,$0 ,,,TEX,1,$0 ,
17793,Trey Wingenter,,,$0 ,,,DET,1,$0 ,
18064,Phil Maton,,,$0 ,,,TBR,1,"$6,500,000 ","$6,500,000 "
18335,Josh Staumont,,,$0 ,,,MIN,1,"$950,000 ","$950,000 "
18356,Jaime Barria,,,$0 ,,,CLE,1,$0 ,
18498,Kenta Maeda,,2,"$24,000,000 ","$12,000,000 ",,DET,2,"$24,000,000 ","$12,000,000 "
18674,Jake Woodford,,,$0 ,,,CHW,1,$0 ,
18694,Kolby Allard,,,$0 ,,,PHI,1,"$1,000,000 ","$1,000,000 "
19206,Dakota Hudson,,,$0 ,,,COL,1,"$1,500,000 ","$1,500,000 "
19316,Eric Lauer,,,$0 ,,,PIT,1,$0 ,
19618,Jordan Hicks,,3,"$27,000,000 ","$9,000,000 ",,SFG,4,"$44,000,000 ","$11,000,000 "
19979,Zach Plesac,,,$0 ,,,LAA,1,"$1,000,000 ","$1,000,000 "
31839,Shintaro Fujinami,,,$0 ,,,NYM,1,"$3,350,000 ","$3,350,000 "
