playerid,Name_x,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,ERA,xERA,FIP,xFIP,WAR,FA% (pi),vFA (pi),wFA (pi),FC% (pi),vFC (pi),wFC (pi),SI% (pi),vSI (pi),wSI (pi),CH% (pi),vCH (pi),wCH (pi),SL% (pi),vSL (pi),wSL (pi),CU% (pi),vCU (pi),wCU (pi),CS% (pi),vCS (pi),wCS (pi),FS% (pi),vFS (pi),wFS (pi),KN% (pi),vKN (pi),wKN (pi),SB% (pi),vSB (pi),wSB (pi),XX% (pi),Stf+ CH,Stf+ CU,Stf+ FA,Stf+ SI,Stf+ SL,Stf+ KC,Stf+ FC,Stf+ FS,Stuff+,Location+,Pitching+,Stf+ FO,Name_y,Pos,Bats,Thr,Prev Team,Age,Service Time,2022 WAR,Proj WAR,Med Years,Med Total,Med AAV,QO,Signing Team,Years,Total Salary,AAV
11836,Taijuan Walker,NYM,12,5,0,29,29,157.1,7.550847702,2.574152626,0.858050875,0.283813747,0.75722543,0.462365591,0.095541401,3.489406892,3.94,3.646329324,3.88415558,2.674705982,0.2992,93.83921708,-1.871008612,0.0496,88.88925466,-1.174348578,0.1064,92.9390346,1.246568296,,,,0.1816,85.20468234,-2.372286741,0.0868,75.07803949,0.918935433,,,,0.276,88.85609149,14.9788208,,,,,,,0.0004,,91.2281106,84.40806452,90.86702899,113.9235732,,100.18,150.337881,109.6822302,100.7168873,101.7888087,,Taijuan Walker,SP,R,R,NYM,30,8.142,2.674705982,,3.0,39000000,13000000.0,,PHI,4.0,72000000.0,18000000.0
11847,Chris Martin,- - -,4,1,2,60,0,56.0,11.89285917,0.803571565,0.964285879,0.316546763,0.75630252,0.489510489,0.130434782,3.053571949,2.55,2.183859415,2.007019967,1.597569197,0.4294049,95.3615988,9.341263108,0.31738623,91.70447854,4.486761868,0.08168028,94.70260707,-2.54480968,,,,0.07934656,84.27942433,-4.801062472,,,,,,,0.09218203,88.47517801,-0.86554056,,,,,,,,,116.621875,85.64308943,85.43098592,106.1162465,,107.6430147,89.59584087,94.92877786,109.9899667,101.6943273,,Chris Martin,RP,R,R,LAD,37,5.133,1.597569227,,,0,,,BOS,2.0,17500000.0,8750000.0
12272,Aaron Brooks,STL,0,0,0,5,0,9.1,6.75000092,1.928571691,2.892857537,0.266666667,0.6122449,0.393939393,0.23076923,7.714286765,10.18,6.755288641,4.638660022,-0.176399142,0.24025974,93.76959064,0.448728975,,,,0.25324675,92.99213116,-3.727877542,0.24025974,85.61572925,0.258357882,0.22077922,85.90548168,-0.557284445,0.04545455,79.74140276,0.0051548,,,,,,,,,,,,,,95.68421053,,75.30555556,99.1974359,113.2771429,54.75,,,94.21363636,99.50779221,99.4461039,,Aaron Brooks,RP,R,R,STL,33,2.102,-0.176399142,,,0,,,SDP,1.0,0.0,
12304,Chris Bassitt,NYM,15,9,0,30,30,181.2,8.273394959,2.427523072,0.941284456,0.281690141,0.77160494,0.48828125,0.109195402,3.418348815,3.44,3.657385161,3.715647235,2.83988142,0.12765217,93.32805049,-3.608762365,0.17773913,89.17116408,7.090932015,0.336,92.78953157,16.4235411,0.05878261,85.2823768,-5.331580754,0.16104348,78.86883268,-3.86128132,0.13878261,71.57419917,5.447108135,,,,,,,,,,,,,,75.35657143,119.5645885,69.88783069,93.28695652,126.392735,,91.12269076,,97.87792433,102.8704269,101.4161055,,Chris Bassitt,SP,R,R,NYM,34,6.13,2.83988142,,3.0,48000000,16000000.0,19650000.0,TOR,3.0,63000000.0,21000000.0
12323,Jacob Barnes,- - -,3,1,0,23,0,22.1,4.835821997,3.626866498,1.208955499,0.281690141,0.67114094,0.506849315,0.130434782,5.64179233,4.78,5.261685222,5.039976051,-0.278482879,0.47645429,95.40815132,-1.075737551,0.42105263,89.21555369,-0.976631112,,,,,,,0.10249307,84.62427418,0.061436132,,,,,,,,,,,,,,,,,,,126.5445087,,104.9028571,,91.50915033,,109.5975069,98.39418283,100.0878116,,Jacob Barnes,RP,R,R,NYY,33,4.157,-0.278482884,,,0,,,TEX,1.0,0.0,
12447,Seth Lugo,NYM,3,2,3,62,0,65.0,9.553847275,2.492307985,1.246153992,0.283236994,0.79819277,0.455555555,0.132352941,3.600000423,3.46,3.758584924,3.50727904,0.256202787,0.29321872,94.40460225,4.295706708,,,,0.21872015,94.41521391,-2.863079567,0.01623687,87.45672248,0.227060769,0.13658071,88.92998798,-0.177916441,0.33524355,79.7724192,1.456699118,,,,,,,,,,,,,,79.33888889,107.3307902,92.51800643,85.62288136,116.8232877,,,,99.1,100.7201112,102.0179796,,Seth Lugo,RP,R,R,NYM,33,6.082,0.256202787,,1.0,5000000,5000000.0,,SDP,2.0,15000000.0,7500000.0
12730,Nick Martinez,SDP,4,4,8,47,10,106.1,8.040753024,3.470219726,1.269592583,0.276450512,0.80833333,0.473856209,0.144230769,3.470219726,3.83,4.429045532,4.043074509,0.421830306,0.24883721,93.45058092,-12.3477614,0.17732558,88.48116355,2.135350313,0.15930233,93.28201984,6.15746903,0.25581395,79.72183061,5.093389928,,,,0.15872093,81.71270461,1.168818351,,,,,,,,,,,,,,110.4624146,107.8956044,98.2518847,102.043254,,,91.97016393,,102.2844767,102.0297674,104.0621512,,Nick Martinez,SP,L,R,SDP,32,4.002,0.421830297,,2.0,16000000,8000000.0,,SDP,3.0,26000000.0,8666666.667
12760,Rafael Montero,HOU,5,2,14,71,0,68.1,9.614634862,3.029268518,0.395121981,0.26035503,0.73746313,0.529411764,0.056603773,2.370731884,2.7,2.644138284,3.221595572,1.495330334,0.45928637,96.48475629,5.5361767,,,,0.22506862,95.98119125,6.020442177,0.19396157,91.17917158,6.014499705,0.12168344,87.95864662,0.838772155,,,,,,,,,,,,,,,,,121.070283,,112.6018036,105.4128514,128.5345865,,,,114.5347388,106.0073327,105.2553621,,Rafael Montero,RP,R,R,HOU,32,6.138,1.495330334,,,0,,,HOU,3.0,34500000.0,11500000.0
12763,Chris Devenski,- - -,2,1,0,13,0,14.2,7.36363764,0.61363647,1.84090941,0.36,0.4787234,0.415094339,0.136363636,8.590910581,5.11,4.544249432,4.105712553,-0.022756621,0.43568465,94.12840867,-3.615512826,,,,,,,0.40248963,82.97600626,0.105730936,0.14937759,81.84493849,-2.180551186,0.01244813,76.82359823,-0.014933947,,,,,,,,,,,,,,131.7721649,,69.70190476,,135.8805556,13.4,,,104.4170124,102.4609959,103.5518672,,Chris Devenski,RP,R,R,PHI,32,6.036,-0.022756621,,,0,,,LAA,1.0,0.0,
12763,Chris Devenski,- - -,2,1,0,13,0,14.2,7.36363764,0.61363647,1.84090941,0.36,0.4787234,0.415094339,0.136363636,8.590910581,5.11,4.544249432,4.105712553,-0.022756621,0.43568465,94.12840867,-3.615512826,,,,,,,0.40248963,82.97600626,0.105730936,0.14937759,81.84493849,-2.180551186,0.01244813,76.82359823,-0.014933947,,,,,,,,,,,,,,131.7721649,,69.70190476,,135.8805556,13.4,,,104.4170124,102.4609959,103.5518672,,Chris Devenski,RP,R,R,PHI,32,6.036,-0.022756621,,,0,,,LAA,1.0,900000.0,900000.0
